node_id,name,in_corpus,case,year
1857950,A. K. Gopalan v. The State of Madras,True,A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950.0
84767110,Preventive	Detention  Act,False,,
1801593,Art. 19 (5)--,False,,
1218090,Art. 19--,False,,
581566,Art.  22,False,,
1199182,Art. 21--,False,,
981147,Art. 32,False,,
164902886,"Sec.
14",False,,
260256,Art. 9.9,False,,
1937835,",  (5)",False,,
37577400,Section 12,False,,
1142233,Article 19 (1),False,,
354224,Art. 31,False,,
1024002,"Art.  19	 (1)
(d)",False,,
1507561,Art. 9.1,False,,
772605,Art. 13 (2).,False,,
44866856,Section 3,False,,
176492173,Section 7,False,,
36616288,Sec. 11,False,,
1659639,Art. 22 (7),False,,
846967,Art. 32 (1),False,,
27376,"Foreigners  Act,	1946",False,,
129869474,section 3 (1),False,,
134715,articles 13,False,,
1597349,article 53,False,,
77052,article 246,False,,
574894,article 245,False,,
1164880,articles 124,False,,
93056159,"Government of India Act, 1935",False,,
369702,article 245 (1),False,,
1071750,"articles
23",False,,
1540780,24,False,,
1888152,articles 29,False,,
1983234,30,False,,
1566826,article 32 (2),False,,
1262401,articles 22 (4),False,,
735354,(7),False,,
1709581,"article
22  (5).",False,,
655638,articles 20,False,,
1010805,article 13 (1),False,,
1456610,(2),False,,
1378441,article 19 (1) (a),False,,
1569253,"Indian  Penal
Code",False,,
367586,Article 14,False,,
445276,Criminal Procedure Code,False,,
427436,"Administrator	 General  of
Bengal v. Premlal Mullick",False,,
1123514,article  214.,False,,
108209556,article 31 (2),False,,
19636,articles 6,False,,
1811608,70,False,,
806892,The  King  v.  The  Secretary  of  State,False,,
1293832,article 22 (1),False,,
825787,article 22 (3),False,,
504536,article 22 (7) (b).,False,,
199256722,article 22	(4)  (b),False,,
1782826,Article 22 (6),False,,
131782864,"article  22
(4)  (a)",False,,
168664138,section 3 (1)(a),False,,
111915764,section 9,False,,
68187463,Section  10	 (3),False,,
308208,"article
22 (7) (c)",False,,
147115869,section	 3 (1) (a) (iii),False,,
152026735,Section 13(2),False,,
17858,Article 20 (2),False,,
158433,article  22  (7) (a),False,,
66794474,8,False,,
129822791,10,False,,
4890801,"Defence of India  Act,  1939",False,,
487667,King Emperor v. Benoari Lal Sharma and others,False,,
915147,Section 2,False,,
88674,article	 221,False,,
258019,article 19 (1) (f),False,,
609295,article  15 (corresponding to the present,False,,
1324537,"article 75 :--  """,False,,
664727,article 10 (1) (d),False,,
188254786,section  2,False,,
158364168,"section
16",False,,
123073859,"section
2",False,,
768566,",(1) (d).",False,,
829916,articles 33,False,,
846153,34,False,,
29620989,S. 4,False,,
25987,"King(1), and Bugga and others v. Emperor",False,,
128725527,British Act,False,,
168705853,13,False,,
609139,Article 12,False,,
948485,article	65,False,,
594125,article 368,False,,
492977,articles  10,False,,
181332691,section 1,False,,
1714884,article 40 (1) (4) (1),False,,
127060,article 74,False,,
121190,article 301,False,,
158646,article 111,False,,
1004075,article 114.,False,,
1985537,article 76,False,,
935769,article 19 (1)	(g),False,,
631708,articles  25,False,,
245155,"Sunil
Kumar v. The Chief300Secretary  of West Bengal",False,,
1641007,section  124-A,False,,
161831507,the Code of Civil  Procedure,False,,
1987997,article  17,False,,
1501707,article	 20 (1),False,,
1405898,"articles
265",False,,
433847,286,False,,
192717,article 50 (5),False,,
846895,Article 107 (2),False,,
4354,"Chiranjit Lal Chowdhury v. The Union of  India	 and
Others",True,Chiranjit_Lal_Chowdhuri_vs_The_Union_Of_India_And_Others_on_4_December_1950,1950.0
153279772,Indian Companies Act,False,,
27622490,Art. 31 (1),False,,
555882,Art. 39.,False,,
171482940,"S.
33",False,,
166601313,S. 60,False,,
104844844,S.	 27,False,,
1659104,(3),False,,
136873488,"section
13",False,,
145567115,Section 4,False,,
1353758,Companies Act,False,,
22595973,Section 5,False,,
164678990,Section 12,False,,
4186378,section 3,False,,
87235247,section 14,False,,
165747100,Section 16,False,,
49179019,section 17,False,,
66692967,Section 21,False,,
55652712,Section	 10,False,,
187871492,section 15,False,,
153444788,section 51,False,,
108908175,section 42,False,,
1205651,article 52,False,,
162709121,"section  31
(XXXI)",False,,
76993389,S. 61,False,,
10438037,,True,Co_Operative_Society_Of_Debts_vs_Nandlal_on_12_October_1950,1950.0
590144,article 374(4),False,,
108006076,Co-operative Societies Act,False,,
51529280,section 42,False,,
1467661,"Commissioner  of	 Income-tax,
Bombay v. Ahmedbhai Umarbhai and Company, Bombay",True,Commissioner_Of_Income_Tax_Bombay_vs_Ahmedbhai_Umarbhai_Co_Bombay_on_4_May_1950,1950.0
789969,Indian  Income-tax  Act,False,,
1627329,s. 42 (3),False,,
65305,section  5,False,,
711469,"section  66
(1)",False,,
387190,section 2 (5),False,,
162070382,section 4,False,,
191265324,"Indian  Income-tax
Act,  1922",False,,
162850841,Section 21,False,,
1954990,10,False,,
354318,13,False,,
176471,29,False,,
1427856,36,False,,
189484699,44-C (inclusive),False,,
1927329,45,False,,
121068,48 (inclusive),False,,
440384,49-,False,,
694023,section  3,False,,
166015046,section 66 (1),False,,
339978,Section 4,False,,
102468123,section 18,False,,
1052453,"Commissioner  of Income-tax v. Western India Life  Insurance
Co. Ltd.",False,,
1843082,section  12,False,,
666914,section 39,False,,
1423213,Killing	 Valley	 Tea Company v. The Secretary of  State,False,,
306592,"The Board of Revenue  v.	 The
Madras	Export Company",False,,
1071338,"1), Jiwan Das v. Income-tax  Commis-",False,,
1408539,"s),  and Sudalaimani Nadar v. Income-tax Commissioner",False,,
1023175,"Commissioner  of
Income-tax, Bombay v. Chunilal B. Mehta",False,,
191105,6,False,,
545792,Section 2,False,,
75703920,Finance  Act,False,,
35535326,section 21 (a),False,,
1218766,section 23,False,,
964140,section 33 (1),False,,
1670053,section  33,False,,
972950,"Rogers Pyatt Shellac and Company v.  Secretary
of  State",False,,
1596533,Amending Act,False,,
800827,Co. Ltd. v. Commissioner of  Income-tax,False,,
72858,"Webb Sons and Company v. Commissioner of Income-tax,
East  Punjab",False,,
272179,Commissioner of Income-tax v. Mathias,False,,
716328,section 4	 (2),False,,
254072,,True,Commissioner_Of_vs_Sri_Keshab_Chandra_Mandal_on_9_May_1950,1950.0
130486927,Bengal  Agricultural Income-tax Act,False,,
25069239,section 63 (1),False,,
124614340,section 24 (2),False,,
164692235,section 25 (5),False,,
153332170,section 35 (4) (a)(i),False,,
163273778,section 64 (2),False,,
4933132,section	 2 (14),False,,
3642124,Section 25 (2),False,,
127829942,section 24,False,,
171803581,Section  41,False,,
13645775,section 37,False,,
814524,section 196,False,,
106759040,section 60,False,,
158555637,Sections 35,False,,
77891112,58,False,,
175334787,section 57,False,,
74387014,Section 34,False,,
92424709,section 36,False,,
47913573,section 63,False,,
104309441,section 48 (2),False,,
138616283,Bengal General Clauses  Act,False,,
98233391,section 16 (1),False,,
206324,"section  1
(5)",False,,
32821,"Japan  Cotton  Trading	Co. Ltd. v.  Jajodia  Cotton  Mills,
Ltd.",False,,
638929,section 59,False,,
