case,source_doc_id,source_title,source_court,source_date,cited_doc_id,cited_title,cited_url
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,1325025,Article 133,https://indiankanoon.org/doc/1325025/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,174008387,s.2(17),https://indiankanoon.org/doc/174008387/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,152251447,s. 18,https://indiankanoon.org/doc/152251447/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,72521549,s.72,https://indiankanoon.org/doc/72521549/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,82830114,"Bombay
Public Trusts Act, 1950",https://indiankanoon.org/doc/82830114/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,115602520,Section 2(13),https://indiankanoon.org/doc/115602520/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,34376139,s.2(l7),https://indiankanoon.org/doc/34376139/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,1700055,"Societies Registration Act, 1860",https://indiankanoon.org/doc/1700055/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,1489134,Registration Act,https://indiankanoon.org/doc/1489134/
Bala_Shankar_Mama_Shankar_Bhattjee_And_vs_Charity_Commissioner_Gujarat_State_on_17_August_1994,281220,"Bala Shankar Mama Shankar Bhattjee And ... vs Charity Commissioner, Gujarat State on 17 August, 1994",Supreme Court of India,1994-08-17,667935,Deoki Nandan v. Murlidhar,https://indiankanoon.org/doc/667935/
