citing_id,cited_id
12637,554839
12637,823444
12637,1043522
12637,1050499
19878,12575
19878,374494
19878,494297
19878,635617
19878,687712
19878,1261287
19878,1838105
21773,865455
22221,932898
22221,1802788
25576,473527
25576,1743548
32080,1999892
32824,1409644
32824,154460642
35670,22221
35670,932898
35670,1802788
39828,854341
44352,1463433
44591,1266374
44591,1890860
58461,1070258
61713,554517
61713,1591322
67973,1252014
74498,283660
74498,1933483
82038,1719430
82588,1890860
82588,1933483
83968,451064
86594,300557
86594,1961694
92021,554517
92021,734117
92021,1083046
92021,1591322
92021,1781027
93739,75362100
97203,678245
98502,1553220
104511,1728769
105132,510078
105132,823347
113663,1316139
117326,823328
117326,849004
120358,1308308
120358,1718426
120358,1980640
121162,1860804
124004,318186
124004,1961694
125847,1457646
127110,1852678
127453,26511
127453,494297
127453,687712
127453,1261287
127577,1631077
133237,664831
137285,673012
137285,1053167
140352,1251841
146057,1713965
146718,1141020
147006,1201722
152146,1728769
157067,1810351
157067,1930596
158187,923000
158187,1961694
162253,1019036
163524,450706
172472,44352
172472,1463433
182124,560037
182190,640087
184521,304499
184521,603736
184521,894748
189307,543934
194120,1918767
200590,38559
201568,1701068
201802,290317
212063,1536600
224012,1954356
224201,1783260
228570,1933483
237512,1425747
239820,1275816
240169,1679391
241529,1267551
243634,515464
248227,538117
251562,1457646
253279,53020
257876,120358
257876,304499
257876,603736
257876,1308308
257876,21266288
258680,1860804
264907,459058
265262,805215
265262,1777946
266438,861817
268805,1521043
268937,823328
272906,148619
275235,802307
277653,1838404
278509,204111
278509,494408
278584,1028604
281123,543934
281220,895240
287243,770422
287243,884859
289533,717095
291828,1510201
293615,1703983
299569,1559646
300557,318186
300557,1961694
304499,514162
307513,1275064
311809,1913766
312939,145565
312939,1510201
312939,1913766
313764,976045
317050,1969775
318441,960347
320488,1113126
322504,1308308
330386,1414177
333513,1728769
335022,1297059
341611,1386765
341775,1075586
342860,1922997
352854,459058
352854,473527
352854,635142
352854,1116381
372465,519726
372465,908527
377649,1430396
377699,641763
377699,1154741
377699,1270365
379705,157067
382199,1145559
383092,1479705
388201,180091
388201,396336
388201,37282232
388201,37505817
391476,1139389
395346,1198061
399872,117326
400294,793151
400294,1308308
400921,621373
400921,1154741
401489,1345052
405349,1009966
413743,1653351
419916,865455
420189,127453
420189,321652
423695,888353
424370,328927
431146,325729
436026,287243
436868,1999892
443222,1576124
449822,184660633
451064,1882779
453977,636080
460659,861817
472343,844274
475851,1948618
476389,751891
482103,1409091
482373,876733
482373,1733535
485394,543934
486473,1031512
486473,1425329
493792,1157189
493891,1969775
498814,421372
501542,1514028
502707,77162
502707,990120
503166,12637
503795,103959
503880,1031512
505591,1401948
510078,1262157
510078,1430396
510078,1778510
513801,538117
513801,43751499
531814,1266374
534533,38559
534533,1888918
537047,1659476
538117,673012
538117,1019036
538117,1053167
538117,1457646
538117,1750663
538117,1781810
538117,1799890
539179,379438
539179,634553
544433,835941
544641,25576
544641,1743548
544641,1948248
549230,313764
549230,734117
552302,1556670
554517,1083046
554517,1157189
554517,1838404
557898,476355
557898,793126
557898,1492591
557996,1948618
560260,1586690
561533,1430396
561533,1652416
564368,1801897
569125,1266374
569814,960347
573026,82038
576627,493375
581955,75362100
583554,75362100
587565,823328
587565,1172174
587965,258864
588099,899911
590653,1818703
591742,476355
592899,568069
593401,587965
597594,227320
601012,1525393
603957,679175
603957,1417510
603957,1860804
608210,1425747
609478,736438
612575,1166174
618705,1999892
623976,323835
623976,1119697
629315,1481209
634316,510078
634553,40121
638221,1224515
639907,1802788
640087,324587
640087,1230342
641763,1154741
641763,1270365
648722,963833
648722,1512520
654172,1553220
656488,1531171
660275,19878
660275,51914
660275,420189
660275,793151
660275,802267
660623,655045
661966,823328
662824,899911
663930,752151
663930,1009966
663930,1022319
663930,1802788
667073,1918767
668225,283660
669219,101302
674013,587965
674949,1273982
677551,623299
679175,1718426
681436,1718426
692533,1629177
698693,1481209
703935,721581
704850,1275816
704850,1409091
705721,1031512
713666,823573
713666,867890
717095,104956
721581,1237964
730804,538117
732598,1212009
732598,1748256
736438,734117
737188,299569
743042,224976
748535,913776
748905,379438
748905,1425747
756319,374494
760623,1270365
760623,1996477
766077,1980640
766560,1318432
769498,805215
774219,1749025
781706,897386
782709,84946
793151,1954356
797439,549514
798012,145565
802267,480602
802267,796217
802267,1910029
802307,1606165
808569,999519
810883,1549889
832890,1997108
833574,1818703
838326,1270973
840916,290317
852975,225066
852975,549514
852975,1467661
859804,413743
859804,75362100
863497,491315
864296,299569
864296,1559646
865455,1464523
867890,823573
868147,700599
870157,140352
879535,21773
879535,865455
880718,1525393
882411,1556670
882411,1937186
885224,44352
885224,107472
885224,407809
885224,1166220
885224,1590667
885614,1412167
887029,1237708
887280,678245
894748,568069
895706,82038
895896,1218536
900707,493375
900707,1137092
900867,1298255
907581,1425747
910697,597594
911769,387276
911769,568069
911769,653417
911769,937486
911769,1019036
911769,1954356
915546,1395554
923000,1719430
925631,145565
928028,1363325
928175,1133248
928322,434894
930051,568069
932898,948916
935369,4354
935369,561318
935369,973363
935369,1430396
935369,184660633
935385,1512520
936707,1576124
938694,1498182
940735,1644913
944747,1654408
948679,132533
948679,258864
948679,587965
963091,1463433
969606,1719669
971550,1409676
974148,129667
974148,1799890
975152,1163919
983398,273525
986468,1954356
992385,77162
999519,8397
999519,1681654
1003616,277312
1004292,129667
1009476,472343
1009476,911769
1009489,1098573
1009711,278509
1009711,1662811
1009711,1799890
1011572,316117
1019036,1961189
1031512,130549
1031512,1266379
1031512,1425329
1031512,1629177
1035057,21773
1038664,1840988
1041253,605621
1042021,1606165
1048514,638153
1048514,960531
1048514,1661992
1049099,1698089
1057798,172472
1060049,1652416
1062835,75362100
1063842,971550
1065009,1729819
1070258,1930596
1075586,823328
1076589,19878
1076589,1155563
1076589,1261287
1083046,1157189
1096820,421372
1098092,885224
1106652,1042021
1113333,1746634
1115441,1076589
1121128,1425329
1121664,1553220
1124455,1525393
1126088,1576124
1133248,41868
1134697,44591
1137092,493375
1139186,781706
1142205,1913766
1144022,1404892
1145726,1481209
1145726,1999892
1149827,1224032
1155281,236012
1155563,19878
1155563,26511
1155563,127453
1155563,494297
1155563,1261287
1155563,1913766
1161744,1298255
1166174,1218527
1166417,1042021
1167532,259610
1167532,349194
1172544,911769
1172544,1441920
1179684,1549889
1187060,19878
1187060,127453
1189707,263196
1201636,603736
1210794,140352
1216757,514162
1216757,1291316
1216757,1404351
1216757,1629177
1220466,82588
1224032,554839
1224032,1166174
1231443,678245
1231443,1340429
1231443,1464523
1231586,823328
1242384,1922997
1245093,1056262
1260147,944747
1260147,1860804
1266374,1425329
1266374,1536230
1275816,1579692
1276295,1342109
1285834,1387185
1285834,1718643
1286314,259610
1286314,349194
1292955,895240
1293027,1719669
1293557,352854
1297847,94289
1297847,359014
1297847,519726
1298255,414792
1298255,811277
1298255,996317
1298255,1481962
1298680,1576124
1303666,290317
1308308,1857950
1312068,1051720
1313008,1521043
1316139,1199558
1326957,981621
1331666,1425329
1333219,506242
1333489,663930
1333680,1579692
1351561,638153
1353689,1643138
1353689,1945293
1354608,117326
1354608,399872
1354608,569555
1363234,1342109
1363325,1813863
1364549,723412
1367404,1166174
1369777,157067
1373296,960531
1375046,1316139
1381806,1418357
1385217,543934
1385220,1556670
1385220,1937186
1394063,597594
1397739,1432129
1401948,1886356
1404466,1889659
1404887,1425747
1405124,1075586
1409091,621517
1409091,1062916
1412888,271205
1412888,1649431
1417510,1231443
1417510,1340429
1417510,1860804
1418217,1145559
1420506,1093034
1421227,75362100
1429681,1961694
1430046,72077064
1444315,300557
1444315,1553220
1449233,1559646
1453495,1464450
1456064,1242384
1463433,107472
1463433,407809
1463433,1166220
1463433,1590667
1468380,77162
1469962,1117400
1479705,1046645
1481209,1890797
1481910,944601
1490167,443306
1496509,1945293
1497995,1937186
1510944,316117
1512520,584756
1512520,608874
1512520,1396529
1516805,761424
1521043,1144327
1521043,1954356
1522913,331743
1531467,236012
1535672,854341
1536600,41868
1536600,1144327
1546400,664831
1547137,22929
1547137,531278
1549889,1787992
1550957,1857003
1553220,318186
1553220,1778243
1553220,1890797
1569478,1031512
1569478,1425329
1573752,104956
1575591,1604881
1576124,1750663
1579692,621517
1579692,1733637
1582042,1831445
1586692,290317
1586692,360072
1586692,840916
1588871,1403823
1591322,290317
1591322,384084
1593993,67600325
1596135,1083046
1603336,1510201
1606861,1777946
1608703,655045
1608703,1224706
1609169,251775
1614622,1133248
1615015,37505817
1622720,77162
1625376,781706
1627364,849004
1628125,360072
1633763,1549889
1641800,175238
1643138,1157189
1643138,1857950
