citing_id,cited_id
543,650766
1094,833111
1281,2154
1561,1689792
2040,797439
2214,837560
2425,146718
3197,12637
3486,887280
3699,743342
3935,175238
4654,403114
5200,1331666
5519,1312879
5866,1891586
6237,1226927
6742,968992
6894,584756
7756,443306
7756,1905561
7921,623299
7975,698693
8212,1137092
8314,1300725
8392,263196
8409,1701960
8908,133237
8919,1218536
9615,145565
9615,1510201
10109,963091
10274,1313802
10682,201802
10682,1303666
10805,569125
10863,1121128
12102,510078
12156,1913453
12161,1409091
12173,534533
12455,97203
12637,450105
12637,554839
12637,823444
12637,923991
12637,1043522
12637,1050499
12637,1483336
12637,1548444
12637,1627616
12637,1853481
12962,117326
12962,1793493
13451,1403823
13843,146960
14349,853415
14894,641763
14961,935369
14981,867890
15238,1297059
15521,752712
15578,1488106
16187,1610266
18427,1409091
18953,956457
19340,636080
19878,12575
19878,189372
19878,374494
19878,494297
19878,612604
19878,635617
19878,687712
19878,781858
19878,1261287
19878,1358408
19878,1838105
21130,341611
21523,94540
21602,127453
21602,420189
21602,1076589
21773,865455
22221,932898
22221,1802788
22476,911769
23120,82038
23203,1133248
23411,1916227
23636,1201722
23803,817612
23836,1404484
23874,1869972
23923,492177
24224,1043522
24625,826254
24818,21773
25017,503880
25017,1569478
25063,1724936
25576,473527
25576,701219
25576,853652
25576,1048929
25576,1300788
25576,1466622
25576,1620986
25576,1743548
25992,1539874
26253,1827815
26335,172472
26398,476226
26421,1202682
26752,909847
26752,1017657
26752,1483878
26752,1756009
26752,56685916
26873,125847
26957,507283
27192,793151
27192,1308308
27438,802307
27488,1559646
27646,217279
27935,1381806
28040,1831445
28132,1699291
28138,1242384
28522,372465
28605,1589788
29441,1573752
29867,313985
30989,1980640
31750,374797
32080,1999892
32654,1214360
32824,1409644
32824,1882646
32824,154460642
33356,377649
33555,1377335
33864,1531467
33892,67973
34627,503166
35036,664831
35345,692533
35614,1365068
35670,22221
35670,932898
35670,1507618
35670,1802788
35788,1860126
36241,451064
36420,35670
36599,1952950
37160,441001
37655,956457
37925,1202682
37973,1727403
38162,1644913
38386,465621
38928,1270973
39000,797357
39064,1369777
39179,401087
39179,724639
39179,1631077
39828,854341
39839,1928579
39901,157067
39901,1369777
39992,475851
41029,804763
41029,806597
41029,1475030
41029,1819721
41082,1403823
41985,175238
42193,234968
43254,467581
43920,1214360
43945,818453
44113,352854
44352,1463433
44591,1266374
44591,1634289
44591,1890860
45450,401087
45532,374797
46111,450706
46200,1777946
46288,1701960
46477,911704
46814,388598
47588,25576
47588,473527
48971,1997108
49217,493792
50139,1956766
50400,429474
50400,906284
50617,1403823
51118,854341
51171,21266288
51432,923000
51461,1521043
51542,1166174
51701,1214360
51701,1858217
51712,1740259
51741,553880
51905,234968
51914,332955
51914,1411268
51924,1436383
51974,493375
51974,935369
52976,1729819
53020,391668
53020,993822
53407,817612
53573,1313802
54060,835941
54118,492177
54300,1199558
54521,911704
55866,911704
55913,612345
56130,486473
56225,1381806
56310,1012429
56524,1340641
56696,1913453
56771,1649431
56856,560260
57091,1021932
57188,876733
57490,804314
58097,568978
58206,745843
58461,1070258
59103,770671
59448,1019036
59828,502707
60799,1748256
60805,736105
60816,635757
60947,133237
61183,1021932
61437,1650872
61713,554517
61713,1591322
61976,493792
62128,948679
62977,640087
63196,1649431
63212,1009476
63222,1868070
63761,1377335
64075,802307
64203,862329
64249,579475
64485,954858
64908,273229
65144,1126923
65367,293615
65434,1284541
65436,1031512
65975,983398
66729,1102942
66848,249290
66848,486473
67271,1798885
67668,251334
67877,935369
67973,617376
67973,1252014
68129,12637
68129,503166
68158,19878
68498,413743
68907,628412
69448,1315480
69831,972270
70451,12637
70650,1889659
71539,761424
71637,1913453
71651,475851
72714,323835
72807,1356211
73212,1882267
73318,234968
73414,228570
73747,1798395
73914,1831445
73964,853415
73964,1882267
74489,284811
74498,283660
74498,582733
74498,804060
74498,901302
74498,1133827
74498,1183314
74498,1595107
74498,1933483
74525,486473
74525,1031512
74996,109655125
75056,725606
75146,743042
75636,467581
76777,553880
77057,129667
77057,1802930
77105,968992
77141,1404484
77162,82058
77162,252376
77162,399321
77162,642053
77162,652166
77162,1137338
77162,1779629
78626,1073776
78655,1802930
79256,364583
79973,486473
80478,467581
80478,1512520
80637,166975
80637,419642
80637,576659
80637,722178
80637,886446
80637,1871405
81237,1158789
81346,357031
81658,972270
81771,1922997
82038,117334
82038,1719430
82432,1579692
82588,1348179
82588,1781444
82588,1890860
82588,1933483
82754,105132
82798,299569
82798,1559646
82885,35662889
82914,923000
83116,638990
83893,1625376
83968,451064
84256,1525393
84694,1226927
85074,1549889
85152,1409091
85302,267330
85660,473037
86043,1488106
86232,730740
86594,300557
86594,1961694
86797,885224
86913,217279
87365,1019036
87558,1985369
88630,1913766
89220,1327181
89257,358208
89622,1083046
89708,1841956
89799,193061
89799,696952
89799,1346176
89799,1389818
89799,1482261
90904,1297059
91068,1412894
91318,263196
91874,582191
92021,117749
92021,319375
92021,451994
92021,554517
92021,576659
92021,734117
92021,964857
92021,1083046
92021,1224577
92021,1591322
92021,1740565
92021,1781027
92021,1930095
92021,1936107
92356,331743
92507,1028604
93472,225097
93511,137285
93569,35670
93688,1963083
93739,75362100
94159,1999566
94288,12637
94540,1302397
95182,826254
95288,175472
95288,322427
95288,776903
95288,905659
95288,1113996
95288,1117535
95288,1327862
95288,1340595
96131,316117
96689,300557
97203,244172
97203,678245
97203,996065
97445,266438
97737,963091
98175,21266288
98502,1553220
98578,724639
99069,300789
99105,1792155
99643,2154
99643,844274
99998,35670
100820,592899
101156,837560
101356,1365068
102102,895703
102364,1481209
102451,1024782
102469,971550
102685,125847
102895,467581
104189,838326
104377,1025842
104438,569125
104511,1728769
104520,1777946
104946,1012429
105132,510078
105132,823347
105132,1729355
105223,833111
105258,584756
105692,1827815
105858,1315480
105948,669219
106584,1068451
106678,930051
107534,913776
107780,971550
107941,736105
107947,157045791
107977,663930
108954,237664
109915,1271790
110078,1956766
110647,1331666
110672,770671
110696,21266288
110992,82588
111890,1457428
112493,1615015
112603,1093228
112641,35670
113147,212063
113205,495668
113230,1969775
113374,292369
113419,1205063
113663,1316139
113769,303515
113819,766560
114251,234968
114302,534533
114595,405349
114663,756197
115401,341611
115627,1644913
115750,761050
116185,146960
116223,1070258
116562,449822
116562,1662637
116608,1980640
116741,1125589
116764,1397739
116798,473527
117159,1331666
117326,95311
117326,398051
117326,823328
117326,849004
117326,1084306
117326,1401935
118407,679175
118633,1650872
118909,1435269
119537,549230
119746,157067
119841,1300725
120358,1308308
120358,1718426
120358,1980640
120856,231145
120943,840916
121162,1860804
121400,12637
121400,969606
121533,1780881
121892,1852678
122002,228570
122384,1340877
122401,374797
122769,1369777
122909,1381806
122970,1117400
123108,1021932
123154,1913766
123805,364583
124004,318186
124004,823952
124004,1024161
124004,1961694
124008,502707
124226,35670
125563,82038
125847,1457646
126137,1073776
126673,930051
127110,1852678
127453,26511
127453,494297
127453,687712
127453,781858
127453,1261287
127577,1631077
127607,840916
127985,1342109
127993,1889659
128557,1831445
128978,1625376
128978,1679483
129208,752712
129377,972270
129682,569125
130098,193640840
130298,960531
130361,1403823
130510,1412579
130625,1266374
130700,1841956
130794,905146
130794,1916440
130899,1514028
130905,1811199
131346,911769
131920,1073776
132330,752712
133237,664831
134053,282787
134893,1121128
135130,770671
135592,228570
135592,1648734
136135,22221
136406,368738
136961,534556
137285,673012
137285,701027
137285,1053167
137285,1827447
137379,25576
138184,518986
138494,1714640
138876,887029
138894,1315480
139314,137285
139612,360268
139728,19878
140352,260326
140352,747247
140352,959234
140352,1251841
140352,1428489
140529,1340877
140685,419105
141079,960531
141588,35670
141588,1802788
143055,1198061
143761,114403
143766,1064200
144074,240169
144081,1093034
144956,1918767
145229,53020
145290,1012429
145789,491315
146057,1713965
146718,1141020
146718,1418896
146960,849793
146960,1064251
146960,1174604
146960,1701348
146960,1971797
147006,1201722
147104,569125
147131,635757
148382,26752
148390,1285834
148506,331743
148619,1116793
148773,521535
149037,1421533
149470,514063
149862,537600
149946,1913453
150091,885224
150327,656488
150512,130794
152146,1728769
152835,797357
152899,761050
153458,473527
153813,669219
154030,465621
154210,1107638
154436,1502737
154950,293615
155281,1205063
155281,1556670
155874,300557
156114,1421533
156294,129667
156898,248221
156898,786280
156898,1270498
156968,1300725
157067,1053912
157067,1810351
157067,1930596
157075,331896
157144,579475
157397,837560
157861,1609169
157947,561533
158187,923000
158187,1961694
158254,35670
158957,507283
159195,549564
159195,1661992
159429,1882267
159451,503795
159514,486473
159514,1031512
160110,717095
160278,224012
160648,1609169
161493,679175
161797,1609169
161858,1312879
162032,266150
162248,805786
162248,1648221
162253,1019036
162724,1116381
162844,109655125
162863,293615
163043,1802930
163043,1948618
163466,744798
163524,450706
163753,1083046
164019,588155
164542,956457
164686,1831445
165205,1397739
166023,1313802
166446,6999
166591,399872
166651,1137092
166678,1316139
167518,888803
167518,1122405
168288,1242384
168436,908845
168582,19878
169078,812823
169269,44591
169813,1539874
169879,854341
170446,1679568
170835,1937186
170953,1858217
171399,1326957
171660,1953607
171834,1766319
172324,1792155
172472,44352
172472,979839
172472,1059860
172472,1463433
172823,911769
172999,75362100
173035,1093228
173995,1999892
174342,1869972
174793,1701960
174936,175238
175031,1270973
175461,1297059
175856,1889659
175920,1579692
176050,679175
176255,1510201
176623,374797
176709,1944190
176737,1038664
176950,1777946
177179,826254
178285,1315480
178381,82588
178381,1593203
178877,325729
178952,1593203
179185,628412
179461,1575591
179461,1918239
180211,826254
181033,352854
181292,1412579
182124,247933
182124,310171
182124,325597
182124,488329
182124,560037
182124,1025787
182124,1441638
182124,1949617
182190,640087
182295,316117
182428,109655125
182648,263011
183609,647270
184050,330386
184211,104377
184211,330386
184211,1285834
184521,304499
184521,603736
184521,894748
185293,246020
185293,1372854
185783,612345
185964,242776
186081,1172544
186239,1969775
186244,300789
186310,154460642
186732,1021932
188930,450706
189057,234968
189307,543934
190003,569125
190579,47721
190579,306823
190579,458323
190579,1595047
190811,833111
191312,368738
192525,1802930
192537,493792
193201,1070258
193281,53020
193305,32824
193323,755574
193782,656488
193866,1369777
194120,1918767
194491,1275816
194491,1579692
194535,127453
194911,6999
195129,114447
195129,278608
195129,1855680
195213,1242384
195222,1827815
195555,1121128
196017,1793493
196192,1363325
196435,1041848
197107,421372
197184,129667
197184,911769
197616,25576
197616,544641
197731,405349
197768,1985369
197867,313985
197889,403114
198701,92021
198842,182124
199678,1729819
200590,38559
200590,1024853
200590,1530339
200685,182124
200717,80637
200923,30692
200923,167539
200923,179373
200923,791231
200923,951561
200923,1666686
200928,866160
201148,1703983
201568,1701068
201802,127987
201802,290317
201802,770702
201802,1195125
202310,1563293
202337,723412
202359,930051
202425,19878
202759,157045791
203124,403114
203166,544641
203166,1007279
203573,902869
203672,1999566
203806,1752222
203959,752712
204158,35670
204158,998987
204431,1199558
204742,331743
205660,44591
206028,32824
206729,1199558
207123,717095
208030,1421533
208107,968992
208331,1882267
208966,537600
209627,1420506
210382,936685
210648,1024782
211311,647270
211414,503795
211520,1961694
211660,105132
211784,137285
212063,463201
212063,1536600
212479,669219
212894,569555
213143,1937186
213301,376217
213452,1479705
214930,1261419
215754,352854
215754,972270
215946,963091
216183,548055
216722,853415
216733,1409091
216733,1579692
217086,703197
217220,1802788
217279,524198
217279,720212
217279,1545576
217279,1622523
217279,1701365
217593,224012
217855,838326
218020,35670
218647,421372
218647,968992
218892,969606
219359,1891586
219393,1543035
219762,421372
220432,300789
220588,1514028
220788,1202682
220788,1556670
220810,372465
221038,378895
221218,707752
221418,537600
222577,72077064
222630,679175
222693,75362100
222964,278509
222964,1662811
223017,588155
223671,641763
224012,1048586
224012,1528958
224012,1954356
224201,1783260
224726,1308308
225097,513059
225097,933395
225097,1740699
225116,663930
225679,1802930
225992,486473
226271,899911
226473,1928579
226812,960531
226916,1961477
227151,1740259
227227,117326
227227,1793493
227337,930051
227390,736105
227622,413743
227827,125847
228070,80637
228148,1496167
228148,1576124
228148,1740259
228433,902869
228502,1270973
228570,582733
228570,901302
228570,1183314
228570,1595107
228570,1933483
228701,114403
228731,360008
228972,930051
229361,282787
229719,761424
230462,94540
231169,668225
231208,922036
231575,1985369
231909,1645313
232442,1119697
232512,1119697
232600,1386996
232637,1261419
234163,1275816
234253,282787
234735,341611
234798,935369
234968,174630
234968,458126
234968,966941
234968,1530754
234968,1717642
235039,1703983
235066,838326
235261,660623
235539,1701514
235580,246146
236104,1133248
236571,569555
236597,266150
236711,723412
236847,1221869
236988,1297059
237081,1625376
237304,323835
237512,1425747
237639,1068451
237664,1181948
238154,423695
238792,25576
238792,1205063
239261,1481209
239820,1275816
240033,935369
240169,501690
240169,1679391
240276,1944190
240377,263196
240491,1777946
240547,1158789
240995,358754
241293,1999566
241406,1031512
241529,1267551
241567,1199558
241756,371597
242147,1404484
242754,723412
242863,887029
243093,89799
243634,398743
243634,515464
243634,767537
243634,1097543
243634,1180350
243634,1261781
243634,1272890
243634,1379677
243634,1514049
243634,1670658
243961,157045791
244330,379438
244379,745843
244439,313764
244439,549230
244507,1267551
244859,1792155
245169,316117
245208,1625376
245222,797357
245315,1137092
245902,812823
246031,668225
246146,592403
246721,234968
246980,1649431
247723,243634
248227,538117
249164,1073776
249290,204623
249290,695786
249290,1535888
249385,507283
249590,1463433
249677,826254
249802,92021
249919,1748256
251282,1869972
251302,493792
251562,1457646
252044,323835
252062,899911
252279,19878
252279,460659
252646,473037
252731,934047
253279,53020
253283,476226
254109,1266374
254318,1882267
254355,1224515
254463,140352
254495,1536230
254719,1027793
255007,1642365
255902,330386
257876,120358
257876,304499
257876,603736
257876,1308308
257876,21266288
258225,1609169
258538,473037
258680,1860804
258844,948679
259292,660623
259785,1591322
260872,329030
260872,969606
