community_id,size,top_by_pr,top_global_pr,avg_in_degree,top5_labels,top_by_betweenness,max_global_betweenness
2,1091,"Miheer H. Mafatlal vs Mafatlal Industries Ltd on 11 September, 1996",0.00059748,1.9,"Miheer H. Mafatlal vs Mafatlal Industries Ltd on 11 September, 1996 | Tirumala Tirupati Devasthanams vs K.M. Krishnaiah on 2 March, 1998 | Rajasthan State Mines & Minerals ... vs Eastern Engineering Enterprises & Anr on 20 September, 1999 | Ragu Thilak D. John vs S.Rayappan & Others on 23 January, 2001 | State Of West Bengal vs Administrator, Howrah Municipality & ... on 14 December, 1971","Canara Bank vs Nuclear Power Corporation Of India Ltd. ... on 6 March, 1995",9.10597e-05
0,1060,Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989,0.00052306,4.4,"Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989 | Swami_Motor_Transport_P_Ltd_And_vs_Sri_Sankaraswamigal_Muttand_on_26_September_1962 | Lucknow Development Authority vs M.K. Gupta on 5 November, 1993 | Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978 | Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979","Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",0.0016096401
4,986,"Central Bureau Of Investigation, ... vs Duncans Agro Industries Ltd.,Calcutta on 9 July, 1996",0.00034166,2.0,"Central Bureau Of Investigation, ... vs Duncans Agro Industries Ltd.,Calcutta on 9 July, 1996 | Aloke Nath Dutta & Ors vs State Of West Bengal | Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982 | Janata_Dal_vs_H_S_Chowdhary_And_Ors_on_28_August_1992 | P. C. Purushothama Reddiar vs S. Perumal on 2 December, 1971",A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,0.0003941886
5,592,Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors,0.00062949,2.8,"Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors | Union Of India & Ors vs Dhanwanti Devi & Ors on 21 August, 1996 | Sulochana Amma vs Narayanan Nair on 24 September, 1993 | Devinder Singh & Others vs State Of Punjab & Others | Kunhayammed & Ors vs State Of Kerala & Anr on 19 July, 2000",Union of India v. Raghubir Singh,0.0006641851
8,319,"B.R. Mehta vs Smt. Atma Devi & Ors on 2 September, 1987",0.00080108,1.8,"B.R. Mehta vs Smt. Atma Devi & Ors on 2 September, 1987 | Municipal_Corporation_Of_Greater_vs_Kamla_Mills_Ltd_on_11_July_2003 | Asstt. Gen. Manager Central Bank Of ... vs Commissioner Municipal Corporation ... on 9 May, 1995 | Nagindas Ramdas vs Dalpatram Ichharam @ Brijram And Ors on 30 November, 1973 | Shyam Kishore And Others vs Municipal Corporation Of Delhi And ... on 3 September, 1992","State Of Punjab (Now Haryana) And, Ors vs Amar Singh And Another on 21 January, 1974",0.0001042392
15,226,"Shrimant Padmaraje R. Kadambande vs Commissioner Of Income Tax, Pune on 22 April, 1992",0.00031483,1.0,"Shrimant Padmaraje R. Kadambande vs Commissioner Of Income Tax, Pune on 22 April, 1992 | C.I.T vs Express Newspapers Ltd on 11 January, 1994 | Bhagwant_P_Sulakhe_vs_Digambak_Gopal_Sulakh_And_Obs_on_30_September_1985 | Raj Kumar Singh Hukam Chandji vs Commissioner Of Income-Tax Madhya ... on 11 August, 1970 | Pooran Mal Etc vs Director Of Inspection ... on 14 December, 1973","Turner Morrison And Co., Ltd vs Hungerford Investment Trust Ltd on 9 March, 1972",1.93513e-05
11,184,"Sridevi & Ors vs. 
Jayaraja Shetty & Ors",0.00066769,7.3,"Sridevi & Ors vs. 
Jayaraja Shetty & Ors | Bharpur Singh & Ors vs Shamsher Singh | Anil Kak vs Kumari Sharada Raje & Ors | Addagada_Raghavamma_And_Anr_vs_Addagada_Chenchamma_And_Anr_on_9_April_1963 | Savithri & Ors vs Karthyayani Amma & Ors",Anil Kak vs Kumari Sharada Raje & Ors,0.0002472578
6,149,"State Of U.P. & Ors vs Maharaja Dharmander Prasad Singh Etc on 17 January, 1989",0.00032999,3.3,"State Of U.P. & Ors vs Maharaja Dharmander Prasad Singh Etc on 17 January, 1989 | M.C. Mehta vs Union Of India & Ors on 30 December, 1996 | Ambica_Quarry_Works_Anr_vs_State_Of_Gujarat_Ors_on_11_December_1986 | Narmada Bachao Andolan Vs.

      Union  of India | A.P. Pollution Control Board vs Prof.M.V.Nayudu (Retd.) & Others on 27 January, 1999","Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996",0.0001639185
-1,128,Maharaj_Jagat_Bahadur_Singh_vs_Badri_Prasad_Seth_on_20_March_1962,3.67e-06,0.0,Maharaj_Jagat_Bahadur_Singh_vs_Badri_Prasad_Seth_on_20_March_1962 | Parmanand_And_Others_vs_Ganpatrao_And_Others_on_12_September_1962 | Kuchwar_Lime_And_Stone_Co_vs_M_S_Dehri_Rohtas_Light_Railway_Co_Ltd_on_15_July_1968 | Jaimal_Anr_vs_Financial_Commissioner_Punjab_Ors_on_25_September_1968 | Gram_Sabha_Besahani_vs_Ram_Raj_Singh_Ors_on_31_January_1968,Maharaj_Jagat_Bahadur_Singh_vs_Badri_Prasad_Seth_on_20_March_1962,0.0
7,90,Kuldip_Chand_Anr_vs_Advocate_General_To_Government_Of_on_14_February_2003,0.00027279,3.2,Kuldip_Chand_Anr_vs_Advocate_General_To_Government_Of_on_14_February_2003 | State_Of_Tamil_Nadu_Etc_vs_Ramalinga_Samigal_Madam_Etc_on_1_May_1985 | Oduru_Chenchulakshmamma_And_Anr_vs_Duvvuru_Subramanya_Reddy_on_23_October_1979 | Board_Of_Muslim_Wakfs_Rajasthan_vs_Radha_Krishna_Ors_on_24_October_1978 | Tilkayat_Shri_Govindlalji_Maharaj_vs_The_State_Of_Rajasthan_And_Others_on_21_January_1963,Vedica Procon Private Limited vs Balleshwar Greens Private Limited And ...,4.5293e-06
