source,target
1031512,1629177
1031512,1334665
1031512,127667
1031512,1093168
1031512,797174
1031512,1425329
1031512,130549
1031512,1266379
1031512,424874
82588,1781444
82588,1348179
82588,1933483
82588,1890860
1928178,608874
1928178,1291316
1928178,424874
1463433,107472
1463433,1590667
1463433,1166220
1463433,407809
1463433,1074998
127453,494297
127453,26511
127453,1261287
127453,781858
127453,687712
1591322,343165
1591322,1791812
1591322,384084
1591322,1936107
1591322,290317
1591322,319375
1591322,1195125
1944190,256823
1944190,770422
1944190,1449949
1944190,1611518
717095,104956
832461,178093
832461,1225648
172472,979839
172472,44352
172472,1463433
172472,1059860
1481209,1890797
761050,242776
1952950,568069
1298144,1569961
958217,1320443
958217,1550953
1155640,1334697
146718,1141020
146718,1418896
1912299,414792
1912299,1823187
137285,1053167
137285,673012
137285,1827447
137285,701027
243634,1379677
243634,1261781
243634,515464
243634,1272890
243634,1514049
243634,1097543
243634,767537
243634,398743
243634,1180350
243634,1670658
1945293,944601
1945293,208970
1945293,1323246
1945293,554839
1945293,456839
1945293,1217564
1945293,687159
1945293,111867
1945293,1431786
1202682,868396
1202682,878645
1202682,552351
915546,1395554
915546,1053912
434894,368689
1391394,1184334
1391394,1621017
1391394,931453
1391394,945814
909807,857488
909807,885370
909807,1740597
909807,1367371
909807,1045492
1363325,1813863
1363325,1659721
1838404,233559
1838404,1519712
1838404,1177051
1838404,1109872
1838404,1681654
1838404,1905739
1838404,1048632
1838404,1029248
975310,1114133
975310,1852915
823328,1712061
823328,1530648
640087,324587
640087,264460
640087,469807
640087,1230342
462135,506764
77162,252376
77162,1137338
77162,642053
77162,82058
77162,1779629
77162,652166
77162,399321
510078,513462
510078,1430396
510078,1759917
510078,1262157
510078,1522837
510078,1778510
1116381,1483878
449822,1594786
449822,184660633
240169,1679391
240169,501690
721581,1237964
721581,1305244
721581,1752403
1536600,1270170
1536600,463201
1536600,1144327
1536600,1842812
1536600,41868
1536600,41574
1536600,188115
1536600,708062
723412,838233
723412,1639013
723412,671560
597594,227320
690726,808713
587965,258864
587965,963790
587965,12663
1093034,1489208
1093034,241155
1093034,284968
1093034,720363
1093034,497890
1818703,1786180
884859,1614979
884859,1283903
1556670,437793
1556670,657847
935369,973363
935369,1905739
935369,685234
935369,1430396
935369,4354
935369,561318
935369,184660633
1780881,1779198
1780881,1664208
1780881,1201219
1780881,485714
1780881,1152226
1780881,1436094
852975,1879530
852975,549514
852975,225066
852975,1467661
852975,579331
852975,1912245
1827815,759864
1827815,242776
304499,514162
274311,1483878
1559646,288409
1271790,1518761
1271790,1659711
1271790,1815362
1271790,1706401
1271790,354798
1271790,994996
1271790,1030897
1271790,1152977
1271790,1388479
781128,1597147
781128,1681131
781128,1832450
781128,89235
781128,355924
1436383,1290730
225097,933395
225097,513059
225097,1740699
421372,1913146
421372,1754034
421372,71027
421372,272113
421372,446198
421372,1341640
148619,1116793
823573,1263756
823573,367513
74498,901302
74498,1595107
74498,283660
74498,582733
74498,1933483
74498,1183314
74498,804060
74498,1133827
388201,1439983
388201,1164175
388201,480861
388201,37505817
388201,396336
388201,314987
388201,1530685
388201,24876
388201,1710258
388201,1679542
388201,180091
388201,37282232
388201,915070
388201,1238890
388201,1386214
388201,1151564
388201,764090
388201,449406
703197,1431341
703197,1243574
703197,1411268
703197,255020
703197,1917834
1999566,1432437
1999566,1659001
1961307,35065
1961307,858595
1961307,607886
1377335,877318
1377335,612615
200590,38559
200590,1024853
200590,1530339
1608703,1224706
1608703,655045
1547375,1439774
1547375,342313
557898,476355
557898,1031625
557898,1842270
557898,741133
557898,155063
557898,818950
557898,1492591
557898,793126
557898,631246
557898,1976487
1866329,155242
736438,1921768
736438,734117
736438,1434001
736438,1355820
736438,1535792
1525393,1434001
1525393,1355820
1525393,1921768
1525393,1535792
725606,508866
725606,120151
725606,1696932
1340877,1179591
584252,1830502
584252,792059
743342,178744
743342,1459036
743342,1411268
781769,63331
781769,749302
781769,1711528
781769,1701012
781769,1530685
781769,145762
781769,262749
781769,1488527
781769,377397
781769,893980
781769,483079
781769,365817
781769,1436254
781769,1197349
781769,507917
781769,1943362
1409091,621517
1409091,1062916
1409091,1202078
1409091,1785601
999519,1681654
999519,1338307
999519,641562
999519,8397
1126923,398636
1126923,655973
899911,525017
231208,922036
1326957,114104
1326957,1010098
1326957,1555028
1326957,740470
1326957,981621
1326957,1939086
1326957,1711610
569555,37832
569555,284968
569555,540448
668225,208970
668225,283660
1376469,304644
1376469,1131783
1986966,1647933
1986966,295461
1986966,88942
1333219,506242
109655125,1788368
109655125,465922
109655125,316192
1028604,572376
1028604,1330916
932898,948916
932898,565597
932898,729733
932898,1555246
932898,1683623
960347,738004
960347,791822
960347,1631748
75362100,1200140
75362100,82058
75362100,1024853
75362100,934714
435717,1200140
435717,1024853
435717,934714
1699291,1270113
1699291,1262738
1699291,770422
1699291,1831440
1699291,1540511
1699291,1659001
1699291,656567
1699291,32468
1699291,685234
1699291,16718
1699291,890488
534556,1361495
534556,1710467
1815832,1447362
1300725,802260
1300725,881040
1300725,1830078
1300725,254739
1158789,27714
1313802,1299048
1313802,1483878
1473460,1907166
1275064,332748
1216757,1629177
1216757,1291316
1216757,1781444
1216757,1404351
1216757,514162
234968,458126
234968,966941
234968,1717642
234968,1530754
234968,174630
1409644,1055970
1409644,1882646
1056262,819123
1056262,124460
805786,413368
287243,1209122
287243,1611518
287243,1449949
287243,770422
287243,884859
1937186,1701132
72077064,894855
72077064,1499310
72077064,1087286
72077064,890877
72077064,832085
72077064,849004
1627364,894855
1627364,849004
1627364,1499310
1627364,1087286
1627364,226284
802267,1831440
802267,796217
802267,480602
802267,546415
802267,98066
802267,1910029
1918767,38328
1918767,1827447
1918767,701326
1918767,493883
12316330,878667
12316330,251710
403114,878667
403114,251710
1420506,1067896
1420506,1093034
1420506,1997407
1420506,57411
1420506,493285
1547137,22929
1547137,531278
1701514,299175
1467818,1584619
1467818,804762
1467818,113190
1404484,1289663
1404484,1692527
1404484,331677
795303,897964
795303,190064
1690721,1353567
1690721,1164659
865455,1464523
865455,656658
865455,1378577
360268,693740
1764677,1048929
1764677,1743548
1764677,1333014
1764677,603736
41029,1819721
41029,1475030
41029,804763
41029,806597
592899,484719
592899,568069
592899,1656576
592899,1530984
592899,1242264
1070258,1930596
1070258,954167
1070258,1734620
413743,1653351
698693,1481209
584756,1879530
584756,1047352
867890,823573
264907,459058
1799890,212098
1799890,4354
90534076,525017
90534076,20909926
90534076,1477080
90534076,62933588
90534076,97365940
1961694,318186
1961694,1989300
1961694,1089973
1961694,1477080
1961694,132533
1961694,525017
1802930,1536600
638153,458126
156898,786280
156898,1270498
156898,248221
195129,1855680
195129,278608
