community_id,size,case_nodes,classified_seeds,top_node_label,top5_by_pagerank,top3_by_betweenness,top_bridge
0,671,476,10,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978 | S_P_Gupta_vs_Union_Of_India_Anr_on_30_December_1981 | Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982 | Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989 | Satwant_Singh_Sawhney_vs_D_Ramarathnam_Assistant_Passport_on_10_April_1967,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973 | Supreme_Court_Advocates_On_Record_vs_Union_Of_India_on_16_October_2015 | Tilokchand Motichand & Ors vs H.B. Munshi & Anr on 22 November, 1968",Barun Chandra Thakur vs Master Bholu
1,652,396,5,Transfer of Property Act,"Mathura Prasad Bajoo Jaiswal & Ors vs Dossibai N. B. Jeejeebhoy on 26 February, 1970 | Sridevi & Ors vs. 
Jayaraja Shetty & Ors | Om Prakash Gupta Vs. Ranbir B. Goyal (Civil
Appeal No.5460 | Smt. Parayankandiyal ... vs K. Devi & Ors on 26 April, 1996 | V_Tulasamma_Ors_vs_V_Sesha_Reddi_Dead_By_L_Rs_on_17_March_1977","Mathura Prasad Bajoo Jaiswal & Ors vs Dossibai N. B. Jeejeebhoy on 26 February, 1970 | Vinodchandra_Sakarlal_Kapadia_vs_State_Of_Gujarat_on_15_June_2020 | Vatticherukuru_Village_Panchayat_And_vs_Nori_Vekatrama_Deekshithulu_And_Ors_on_26_April_1991",Mosammat_Bibi_Sayeeda_Ors_Etc_vs_The_State_Of_Bihar_Ors_Etc_on_25_April_1996
2,589,303,5,"Land Acquisition Act, 1894","Ratan Kumar Tandon & Ors vs State Of Uttar Pradesh on 1 August, 1996 | Union Of India & Ors vs Krishan Lal Arneja & Ors | Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors | Trust Vs. 

State of Haryana & Ors. | Maneklal_Chhotalal_Ors_vs_M_G_Makwana_Ors_on_2_March_1967",Indore_Development_Authority_vs_Manoharlal_And_Ors_Etc_on_6_March_2020 | Indore Development Authority vs Shailendra (Dead) Through Its Lrs. And ... | Assocn_Of_Vasanth_Appts_Owners_vs_V_Gopinanth_And_Ors_on_13_February_2023,Mallikarjun Kodagali (Dead) ... vs The State Of Karnataka
3,465,1,3,"Delhi Development Authority vs Tejpal on 17 May, 2024",Union of India & Ors. v. L.D. Balam Singh | GOVT. OF NCT OF DELHI vs. BEENA GUPTA [D. No. | DELHI DEVELOPMENT AUTHORITY vs. SHIV LAL [D.No.39883/2022 | LAND AND BUILDING DEPARTMENT vs. SHRAVAN GUPTA [D. No. | GOVT. OF NCT OF DELHI vs. MADAN MOHAN SARAFF [D.No.13368/2023,"Delhi Development Authority vs Tejpal on 17 May, 2024 | Union of India & Ors. v. L.D. Balam Singh | GOVT. OF NCT OF DELHI vs. BEENA GUPTA [D. No.",Union of India & Ors. v. L.D. Balam Singh
4,382,31,0,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,"Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005 | Ashok Leland Ltd vs State Of Tamil Nadu And Anr | Sri Ramnik Vallabhdas Madhvani And Ors vs Taraben Pravinlal Madhvani | Baldev Singh and Ors. vs. 
Manohar Singh and Another | M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors",Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005 | Union Of India (Uoi) vs Pramod Gupta (D) By L.Rs. And Ors. | Ashok Leland Ltd vs State Of Tamil Nadu And Anr,"Supdt. Of Taxes, Dhubri & Ors vs Onkarmal Nathmal Trust Etc. Etc on 1 May, 1975"
5,372,219,7,Limitation Act,"Konda_Lakshmana_Bapuji_vs_Govt_Of_Andhra_Pradesh_Ors_on_29_January_2002 | P.T. Munichikkanna Reddy & Ors vs Revamma And Ors | N.V. Srinivasa 
Murthy v. Mariyamma | S_M_Karim_vs_Mst_Bibi_Sakina_on_14_February_1964 | Ramesh Hiranand Kundanmal vs Municipal Corporation Of Greater ... on 4 March, 1992",M Siddiq (D) Thr Lrs vs Mahant Suresh Das & Ors | Nusli Neville Wadia vs Ivory Properties | Barasat Eye Hospital Thr. Its Rep. vs Kaustabh Mondal,"Delhi  Development Authority	 vs. Skipper
Construction Co.(P)  Ltd. & Anr."
6,343,49,5,Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,"Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006 | Lucknow Development Authority vs Krishna Gopal Lahoti And Ors | Secretary v.   Bipin Kumar and Anr. | Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989 | Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988","Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006 | Lucknow Development Authority vs Krishna Gopal Lahoti And Ors | Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989",Satya Pal Anand vs State Of M.P. And Ors
7,316,216,6,"Companies Act, 1956","Kailash vs Nanhku & Ors | Allahabad Bank vs Canara Bank & Another on 10 April, 2000 | State of Karnataka vs. Vishwabharathi House Building 
Coop. Society and others | S_Sundaram_Pillai_Etc_vs_V_R_Pattabiraman_Etc_on_24_January_1985 | Lucknow Development Authority vs M.K. Gupta on 5 November, 1993","Manish_Kumar_vs_Union_Of_India_on_19_January_2021 | Kalpraj Dharamshi Successful ... vs Kotak Investment Advisors Limited | The Authorized Officer,Indian Bank vs D. Visalakshi",Revenue Recovery Act
8,293,197,10,Income-tax Act,"India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989 | Director Of Inspection Of Income ... vs Pooran Mal & Sons & Another on 20 September, 1974 | State_Of_Orissa_vs_M_A_Tulloch_And_Co_And_Connected_on_16_August_1963 | Union_Of_India_Ors_vs_M_S_Indo_Afghan_Agencies_Ltd_on_22_November_1967 | M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978","India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989 | Monnet_Ispat_And_Energy_Ltd_vs_Union_Of_India_And_Ors_on_26_July_2012 | Assistant_Commissioner_Of_Income_Tax_vs_Ahmedabad_Urban_Development_Authority_on_19_October_2022","Ravikumar Dhansukhlal Maheta vs High Court Of Gujarat on 17 May, 2024"
9,217,130,1,"Industrial Disputes Act, 1947","Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975 | Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979 | Central_Inland_Water_vs_Brojo_Nath_Ganguly_Anr_on_6_April_1986 | Pradeep_Kumar_Biswas_vs_Indian_Institute_Of_Chemical_Biology_on_16_April_2002 | Padma Vs. Hiralal Motilal Desarda and Others",Pandurang_Ganpati_Chaugule_vs_Vishwasrao_Patil_Murgud_Sahakari_Bank_on_5_May_2020 | Sukhdev Singh & Ors. v. Bhagatram Sardar Singh Raghuvanshi & Others | Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,M_Pentiah_And_Others_vs_Muddala_Veeramallappa_And_Others_on_7_November_1960
