overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
1,618705,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,2005.0,https://indiankanoon.org/doc/618705/,case,4,C4_S0,expanded,0.028939231765723307,0.12206205816778339,0.9775719608367773,0.07650273224043716,309,57,1.0,0.9995963673057517,0.9995963673057517,0.9997578203834511,True
4,1582869,Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,2006.0,https://indiankanoon.org/doc/1582869/,case,6,C6_S0,keyword,0.009087002654085321,0.0406258165011047,0.5377174482339149,0.03333333333333333,110,10,0.9995963673057517,0.9989909182643795,0.9975782038345106,0.9989505549949547,True
5,160214,Babulal Badriprasad Varma vs Surat Municipal Corpn. & Ors,,https://indiankanoon.org/doc/160214/,case,14,C14_S0,expanded,0.004332310508739935,0.018146316835508877,0.9856743535988819,0.14035087719298245,50,7,0.9991927346115035,0.9973763874873864,0.9997981836528759,0.9985872855701312,True
6,602879,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors,,https://indiankanoon.org/doc/602879/,case,6,C6_S1,keyword,0.008009991786417217,0.025874324618420846,0.40689672542882643,0.02,95,5,0.9993945509586276,0.9979818365287588,0.9969727547931383,0.9983451059535824,True
18,859367,"Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988",1988.0,https://indiankanoon.org/doc/859367/,case,6,C6_S2,expanded,0.0010033950108842258,0.011050107116658677,0.27179970102601847,0.17647058823529413,10,7,0.9901109989909183,0.9937436932391523,0.9951564076690211,0.9925731584258326,True
19,121162,Ashok Leland Ltd vs State Of Tamil Nadu And Anr,,https://indiankanoon.org/doc/121162/,case,4,C4_S4,expanded,0.002108689799657358,0.007156009083663843,0.09665259976591713,0.6521739130434783,17,6,0.9975782038345106,0.98970736629667,0.9852674066599395,0.9919677093844601,True
20,1642608,"Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989",1989.0,https://indiankanoon.org/doc/1642608/,case,6,C6_S7,keyword,0.0014737459177981498,0.017738014564264406,0.05524154729087745,0.25,2,2,0.9949545913218971,0.9971745711402623,0.9719475277497477,0.9912411705348134,True
21,1080529,Bharat Petroleum Corpn. Ltd vs Maddula Ratnavalli & Ors,,https://indiankanoon.org/doc/1080529/,case,16,C16,expanded,0.000983654216017458,0.006214287132942193,0.7666666666666666,0.5454545454545454,15,7,0.9895055499495459,0.987891019172553,0.9991927346115035,0.9907971745711404,True
22,445381,Secretary v.   Bipin Kumar and Anr.,,https://indiankanoon.org/doc/445381/,case,6,C6_S5,expanded,0.0015347757033838093,0.013343384900046334,0.04939602826423033,0.1875,15,1,0.9957618567103935,0.9953582240161453,0.9681130171543895,0.9900706357214935,True
23,257876,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",1973.0,https://indiankanoon.org/doc/257876/,case,0,C0_S0,expanded,0.0008053298173535193,0.020564402093829474,0.09861214644761708,0.22941176470588234,74,96,0.9828456104944501,0.9975782038345106,0.9854692230070635,0.9892633703329969,True
26,703650,Dir_Of_Settlements_A_P_Ors_vs_M_R_Apparao_Anr_on_20_March_2002,2002.0,https://indiankanoon.org/doc/703650/,case,15,C15,expanded,0.0008060846295900812,0.005240391009131263,0.47621307346468006,0.5,15,11,0.9830474268415742,0.9848637739656912,0.9973763874873864,0.9866397578203835,True
51,1353689,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,1988.0,https://indiankanoon.org/doc/1353689/,case,0,C0_S12,expanded,0.000759426774991849,0.011116435636872082,0.01562753045510086,0.5,52,28,0.9808274470232089,0.9941473259334006,0.9039354187689203,0.9707769929364279,True
73,1006709,"Mathura Prasad Bajoo Jaiswal & Ors vs Dossibai N. B. Jeejeebhoy on 26 February, 1970",1970.0,https://indiankanoon.org/doc/1006709/,case,1,C1_S17,expanded,0.0007880206524518359,0.017208178252452626,0.0061538608666557556,0.5714285714285714,20,1,0.9818365287588294,0.9969727547931383,0.7993945509586277,0.9514026236125126,True
259,774914,"Ratan Kumar Tandon & Ors vs State Of Uttar Pradesh on 1 August, 1996",1996.0,https://indiankanoon.org/doc/774914/,case,2,C2_S3,expanded,0.0010156834329711193,0.0101244909155637,0.00020388770720432208,0.4,2,3,0.9907164480322906,0.992936427850656,0.4557013118062563,0.8846014127144299,True
493,937834,"Jayalakshmi Coelho vs Oswald Joseph Coelho on 28 February, 2001",2001.0,https://indiankanoon.org/doc/937834/,case,6,C6_S0,expanded,0.0008855070998620557,0.00976176766249107,0.0,0.6,2,3,0.9866801210898083,0.9927346115035318,0.18446014127144297,0.8286579212916247,True
