overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
1,618705,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,2005.0,https://indiankanoon.org/doc/618705/,case,4,C4_S0,expanded,0.028939231765723307,0.12206205816778339,0.9775719608367773,0.07650273224043716,309,57,1.0,0.9995963673057517,0.9995963673057517,0.9997578203834511,True
2,7832,"Land Acquisition Act, 1894",,https://indiankanoon.org/doc/7832/,reference,2,C2_S3,keyword,0.009602852504996387,0.20237323479378422,0.5382447681339957,0.3986013986013986,286,0,0.9997981836528759,1.0,0.9977800201816347,0.9994752774974773,True
3,1317393,Limitation Act,,https://indiankanoon.org/doc/1317393/,reference,5,C5_S1,expanded,0.003910686964738649,0.08291962630622546,0.5800230594017739,0.6212121212121212,198,0,0.9989909182643795,0.9993945509586276,0.9979818365287588,0.9989505549949548,True
4,1582869,Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,2006.0,https://indiankanoon.org/doc/1582869/,case,6,C6_S0,keyword,0.009087002654085321,0.0406258165011047,0.5377174482339149,0.03333333333333333,110,10,0.9995963673057517,0.9989909182643795,0.9975782038345106,0.9989505549949547,True
5,160214,Babulal Badriprasad Varma vs Surat Municipal Corpn. & Ors,,https://indiankanoon.org/doc/160214/,case,14,C14_S0,expanded,0.004332310508739935,0.018146316835508877,0.9856743535988819,0.14035087719298245,50,7,0.9991927346115035,0.9973763874873864,0.9997981836528759,0.9985872855701312,True
6,602879,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors,,https://indiankanoon.org/doc/602879/,case,6,C6_S1,keyword,0.008009991786417217,0.025874324618420846,0.40689672542882643,0.02,95,5,0.9993945509586276,0.9979818365287588,0.9969727547931383,0.9983451059535824,True
7,515323,Transfer of Property Act,,https://indiankanoon.org/doc/515323/,reference,1,C1_S6,expanded,0.0033747450039193247,0.03240113553016605,0.3103525996396939,0.40119760479041916,167,0,0.9987891019172553,0.9983854692230071,0.9959636730575177,0.9980625630676085,True
8,1353758,"Companies Act, 1956",,https://indiankanoon.org/doc/1353758/,reference,7,C7_S8,expanded,0.0033318305856570246,0.03982588789337993,0.2888434460670355,0.6340425531914894,235,0,0.9983854692230071,0.9987891019172553,0.9955600403632694,0.9979818365287589,True
9,789969,Income-tax Act,,https://indiankanoon.org/doc/789969/,reference,8,C8_S0,expanded,0.002748393213132885,0.023230700504531205,0.24743174615875518,0.6153846153846154,169,0,0.998183652875883,0.9977800201816347,0.9945509586276489,0.9972956609485369,True
10,1596533,Amending Act,,https://indiankanoon.org/doc/1596533/,reference,1,C1_S4,expanded,0.0033548004944129336,0.0371620479874189,0.13209318839193793,0.6954314720812182,197,0,0.9985872855701312,0.9985872855701312,0.9889001009081736,0.9966498486377398,True
11,1052228,Arbitration Act,,https://indiankanoon.org/doc/1052228/,reference,11,C11_misc,expanded,0.002322040596392854,0.010394290627508188,0.3722309611919542,0.4260869565217391,115,0,0.9977800201816347,0.9931382441977801,0.99656912209889,0.995681130171544,True
12,679372,Delhi Rent Control Act,,https://indiankanoon.org/doc/679372/,reference,1,C1_S1,keyword,0.0018578362341152433,0.015088243475452859,0.17418211388537563,0.24770642201834864,109,0,0.9967709384460142,0.9963673057517659,0.991523713420787,0.9955600403632695,True
13,500379,"Industrial Disputes Act, 1947",,https://indiankanoon.org/doc/500379/,reference,9,C9_S5,expanded,0.001445011254221333,0.014138320013583588,0.21556526553853672,0.6699029126213593,103,0,0.9945509586276489,0.9957618567103935,0.9925327951564077,0.9946316851664986,True
14,1306164,"Conciliation and Arbitration Act, 1904",,https://indiankanoon.org/doc/1306164/,reference,11,C11_misc,expanded,0.0015096612550361053,0.009634597622714607,0.22288831588545602,0.37373737373737376,99,0,0.9955600403632694,0.9923309788092836,0.9933400605449041,0.993824419778002,True
15,171398,Indian Contract Act,,https://indiankanoon.org/doc/171398/,reference,7,C7_S0,expanded,0.0020649860526907155,0.016772165224245413,0.0760375206769578,0.6890756302521008,119,0,0.9973763874873864,0.9967709384460142,0.9804238143289606,0.9937436932391525,True
