overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,seed_type,pagerank,betweenness,local_betweenness,bridge_score,in_degree,out_degree,pr_pct,bw_pct,local_bw_pct,composite_score,landmark
1,618705,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,2005.0,https://indiankanoon.org/doc/618705/,case,4,C4_S0,expanded,0.028939231765723307,0.12206205816778339,0.9775719608367773,0.07650273224043716,309,57,1.0,0.9995963673057517,0.9995963673057517,0.9997578203834511,True
4,1582869,Deputy_Director_Land_Acquisition_vs_Malla_Atchinaidu_And_Ors_on_12_December_2006,2006.0,https://indiankanoon.org/doc/1582869/,case,6,C6_S0,keyword,0.009087002654085321,0.0406258165011047,0.5377174482339149,0.03333333333333333,110,10,0.9995963673057517,0.9989909182643795,0.9975782038345106,0.9989505549949547,True
5,160214,Babulal Badriprasad Varma vs Surat Municipal Corpn. & Ors,,https://indiankanoon.org/doc/160214/,case,14,C14_S0,expanded,0.004332310508739935,0.018146316835508877,0.9856743535988819,0.14035087719298245,50,7,0.9991927346115035,0.9973763874873864,0.9997981836528759,0.9985872855701312,True
6,602879,Lucknow Development Authority vs Krishna Gopal Lahoti And Ors,,https://indiankanoon.org/doc/602879/,case,6,C6_S1,keyword,0.008009991786417217,0.025874324618420846,0.40689672542882643,0.02,95,5,0.9993945509586276,0.9979818365287588,0.9969727547931383,0.9983451059535824,True
18,859367,"Administrator General Of West Bengal vs Collector, Varanasi on 16 February, 1988",1988.0,https://indiankanoon.org/doc/859367/,case,6,C6_S2,expanded,0.0010033950108842258,0.011050107116658677,0.27179970102601847,0.17647058823529413,10,7,0.9901109989909183,0.9937436932391523,0.9951564076690211,0.9925731584258326,True
19,121162,Ashok Leland Ltd vs State Of Tamil Nadu And Anr,,https://indiankanoon.org/doc/121162/,case,4,C4_S4,expanded,0.002108689799657358,0.007156009083663843,0.09665259976591713,0.6521739130434783,17,6,0.9975782038345106,0.98970736629667,0.9852674066599395,0.9919677093844601,True
20,1642608,"Suresh Kumar vs Town Improvement Trust, Bhopal on 3 March, 1989",1989.0,https://indiankanoon.org/doc/1642608/,case,6,C6_S7,keyword,0.0014737459177981498,0.017738014564264406,0.05524154729087745,0.25,2,2,0.9949545913218971,0.9971745711402623,0.9719475277497477,0.9912411705348134,True
21,1080529,Bharat Petroleum Corpn. Ltd vs Maddula Ratnavalli & Ors,,https://indiankanoon.org/doc/1080529/,case,16,C16,expanded,0.000983654216017458,0.006214287132942193,0.7666666666666666,0.5454545454545454,15,7,0.9895055499495459,0.987891019172553,0.9991927346115035,0.9907971745711404,True
22,445381,Secretary v.   Bipin Kumar and Anr.,,https://indiankanoon.org/doc/445381/,case,6,C6_S5,expanded,0.0015347757033838093,0.013343384900046334,0.04939602826423033,0.1875,15,1,0.9957618567103935,0.9953582240161453,0.9681130171543895,0.9900706357214935,True
23,257876,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",1973.0,https://indiankanoon.org/doc/257876/,case,0,C0_S0,expanded,0.0008053298173535193,0.020564402093829474,0.09861214644761708,0.22941176470588234,74,96,0.9828456104944501,0.9975782038345106,0.9854692230070635,0.9892633703329969,True
26,703650,Dir_Of_Settlements_A_P_Ors_vs_M_R_Apparao_Anr_on_20_March_2002,2002.0,https://indiankanoon.org/doc/703650/,case,15,C15,expanded,0.0008060846295900812,0.005240391009131263,0.47621307346468006,0.5,15,11,0.9830474268415742,0.9848637739656912,0.9973763874873864,0.9866397578203835,True
27,1281050,Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,1979.0,https://indiankanoon.org/doc/1281050/,case,9,C9_S6,expanded,0.0011292489158906416,0.0033784597220039066,0.1473716652782526,0.4230769230769231,51,1,0.9923309788092836,0.9749747729566095,0.9895055499495459,0.9848234106962664,False
29,1907642,"India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989",1989.0,https://indiankanoon.org/doc/1907642/,case,8,C8_S1,expanded,0.0006876478297431354,0.013420644917889593,0.05468641882157103,0.42857142857142855,24,11,0.977598385469223,0.9955600403632694,0.9715438950554995,0.9835721493440969,False
30,1940266,"Kunhayammed & Ors vs State Of Kerala & Anr on 19 July, 2000",2000.0,https://indiankanoon.org/doc/1940266/,case,10,C10_S8,expanded,0.000733593141289068,0.004945079368072348,0.17115365962700574,0.6538461538461539,18,8,0.9788092835519677,0.9836528758829465,0.9911200807265389,0.9832088799192736,False
46,426032,"Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975",1975.0,https://indiankanoon.org/doc/426032/,case,9,C9_S2,expanded,0.001173386680773277,0.0022966838834946888,0.049793073453930005,0.48484848484848486,7,26,0.9931382441977801,0.9582240161453077,0.9685166498486377,0.9742482341069627,False
47,1596595,Kailash Chand & Anr vs Dharam Dass,,https://indiankanoon.org/doc/1596595/,case,16,C16,expanded,0.0006154546729277726,0.002538244284615717,0.6,0.14285714285714285,6,1,0.9713420787083754,0.9626639757820383,0.9983854692230071,0.9732795156407669,False
