parent_community,subcommunity_id,size,top_label,top5_labels,top_betweenness_label
0,C0_S0,74,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973","Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973 | Rustom Cavasjee Cooper vs Union Of India on 10 February, 1970 | M_S_Ashoka_Smokeless_Coal_Ind_P_Ltd_vs_Union_Of_India_Ors_on_1_December_2006 | The_Barium_Chemicals_Ltd_And_Anr_vs_The_Company_Law_Board_And_Others_on_4_May_1966 | K_T_Plantation_Pvt_Ltd_Anr_vs_State_Of_Karnataka_on_9_August_2011","Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973"
0,C0_S1,72,Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994,"Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994 | Kehar Singh & Ors vs State (Delhi Admn.) on 3 August, 1988 | Sidhartha Vashisht @ Manu Sharma vs State (Nct Of Delhi) | Union_Of_India_vs_V_Sriharan_Murugan_Ors_on_2_December_2015 | Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982",Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994
0,C0_S10,33,Rameshwar_Prasad_Ors_vs_Union_Of_India_Anr_on_24_January_2006,"Rameshwar_Prasad_Ors_vs_Union_Of_India_Anr_on_24_January_2006 | State_Of_Rajasthan_Ors_Etc_Etc_vs_Union_Of_India_Etc_Etc_on_6_May_1977 | Supreme_Court_Employees__Welfare_vs_Union_Of_India_Uoi_And_Anr_on_24_July_1989 | Kihoto Hollohan vs Zachillhu And Others on 18 February, 1992 | State_Of_Karnataka_vs_Union_Of_India_Another_on_8_November_1977",Kalpana_Mehta_And_Ors_vs_Union_Of_India_And_Ors_on_9_May_2018
0,C0_S11,32,"Essential Commodities Act, 1955","Reserve Bank Of India vs Peerless General Finance & Investment ... on 22 January, 1987 | Union Of India & Anr vs Cynamide India Ltd. & Anr on 10 April, 1987 | State_Of_Madhya_Pradesh_Anr_vs_Thakur_Bharat_Singh_on_23_January_1967 | Oil_And_Natural_Gas_Commission_And_Anr_vs_Association_Of_Natural_Gas_Consuming_on_4_May_1990 | Maganbhai Ishwarbhai Patel vs Union Of India And Anr on 9 January, 1969",Dental Council Of India vs Biyani Shikshan Samiti
0,C0_S12,28,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,"A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988 | Union Carbide Corporation Etc. Etc vs Union Of India Etc. Etc on 3 October, 1991 | Supreme Court Bar Association vs Union Of India & Anr on 17 April, 1998 | Delhi Judicial Service Association Tis ... vs State Of Gujarat And Ors. Etc-Etc on 11 September, 1991 | Ashok Kumar Gupta , Vidya Sagar Gupta & ... vs State Of U.P. & Ors on 21 March, 1997",A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988
0,C0_S13,25,Art. 22%,"H. H. Maharajadhiraja Madhav Rao Jiwaji ... vs Union Of India on 15 December, 1970 | R. Pandian And Anothera. Deivendran Son ... vs State Of Tamil Naduthrough The ... on 21 October, 1997 | Additional District Magistrate, ... vs Shivakant Shukla on 28 April, 1976 | Dr_Ram_Manohar_Lohia_vs_State_Of_Bihar_And_Others_on_7_September_1965 | Additional District Magistrate, ... vs S. S. Shukla Etc. Etc on 28 April, 1976",Art. 22%
0,C0_S14,24,The_Commissioner_Hindu_Religious_vs_Sri_Lakshmindra_Thirtha_Swamiar_Of_Sri_on_16_April_1954,"The State Of Gujarat And Another vs Shri Ambica Mills Ltd., Ahmedabad, Etc on 26 March, 1974 | S_R_Bommai_vs_Union_Of_India_on_11_March_1994 | Indian_Young_Lawyers_Association_vs_The_State_Of_Kerala_on_28_September_2018 | Dr. M. Ismail Faruqui Etc, Mohd. Aslam, ... vs Union Of India And Others on 24 October, 1994 | S_P_Mittal_Etc_Etc_vs_Union_Of_India_And_Others_on_8_November_1982",S_R_Bommai_vs_Union_Of_India_on_11_March_1994
0,C0_S15,22,& 39,Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Ors_on_19_December_1996 | Vijay_Kumar_Sharma_Ors_Etc_vs_State_Of_Karnataka_Ors_Etc_on_27_February_1990 | Samatha_vs_State_Of_Andhra_Pradesh_And_Ors_on_11_July_1997 | State_Of_Karnataka_And_Anr_Etc_vs_Shri_Ranganatha_Reddy_Anr_Etc_on_11_October_1977 | Tinsukhia_Electric_Supply_Co_Ltd_vs_State_Of_Assam_And_Ors_on_13_April_1989,& 39
0,C0_S16,17,India Act,"Union of India v. Raghubir Singh | Union Of India vs H. S. Dhillon on 21 October, 1971 | Kerala State Electricity Board vs Indian Aluminium Co on 1 September, 1975 | Abhiram Singh vs C.D. Commachen (Dead) By Lrs.& Ors | Sub-Committee On Judicial ... vs Union Of India And Ors., Etc on 29 October, 1991",India Act
0,C0_S2,59,Art. 19 ( 1 ),"Justice_K_S_Puttaswamy_Retd_And_Anr_vs_Union_Of_India_And_Ors_on_24_August_2017 | Bennett Coleman & Co. & Ors vs Union Of India & Ors on 30 October, 1972 | Indian_Express_Newspapers_Bombay_vs_Union_Of_India_Ors_Etc_Etc_on_6_December_1984 | Har Shankar & Ors. Etc. Etc vs The Dy. Excise & Taxation Commr. & Ors on 21 January, 1975 | Shreya Singhal v. Union of India",Justice_K_S_Puttaswamy_Retd_And_Anr_vs_Union_Of_India_And_Ors_on_24_August_2017
