community_id,seed_id,seed_label,seed_pagerank,size,top5_members
0,533881,M.S. Narayana Menon @ Mani vs State Of Kerala & Anr,0.00119838,103424,M.S. Narayana Menon @ Mani vs State Of Kerala & Anr | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law
4,75737,M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors,0.00100168,12422,"Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | New
India Assurance Compay vs. Satpal Singh and Ors. | Indian Kanoon - Search engine for Indian Law | M/S. National Insurance Co. Ltd vs Baljit Kaur And Ors"
11,39828,State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003,0.0008427,1580,"State_Of_Punjab_And_Anr_vs_Devans_Modern_Brewaries_Ltd_And_Anr_on_20_November_2003 | Indian Kanoon - Search engine for Indian Law | Union Of India (Uoi) vs Chajju Ram (Dead) By Lrs. And Ors | Miss Sundarambai v. Government of Goa | Union Of India & Ors vs Dhanwanti Devi & Ors on 21 August, 1996"
13,1035057,The_State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004,0.00082943,1106,The_State_Of_West_Bengal_vs_Kesoram_Industries_Ltd_And_Ors_on_15_January_2004 | Sri Ram Pasricha v. Jagannath and Ors. | The_State_Of_West_Bengal_vs_Anwar_Ali_Sarkar_on_11_January_1952 | Nedunuri Kameswaramma v. Sampati Subba Rao | Limitation Act
20,1142205,Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003,0.00078775,791,Guruvayur_Devaswom_Managing_Commit_vs_C_K_Rajan_Others_on_14_August_2003 | Art. 32 | T.N. Godavaraman Thirumulkpad v. Union of India & Ors | Indian Kanoon - Search engine for Indian Law | Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978
19,1016548,Surya_Dev_Rai_vs_Ram_Chander_Rai_Ors_on_7_August_2003,0.00079711,741,Indian Kanoon - Search engine for Indian Law | Surya_Dev_Rai_vs_Ram_Chander_Rai_Ors_on_7_August_2003 | Addagada_Raghavamma_And_Anr_vs_Addagada_Chenchamma_And_Anr_on_9_April_1963 | Bishan Singh & Ors. v. The State of Punjab | R_S_Nayak_vs_A_R_Antulay_on_16_February_1984
10,1769219,State (N.C.T. Of Delhi) vs Navjot Sandhu@ Afsan Guru,0.00085193,619,"State (N.C.T. Of Delhi) vs Navjot Sandhu@ Afsan Guru | Indian Kanoon - Search engine for Indian Law | The State Of Andhra Pradesh vs Kandimalla Subbaiah And Another on 8 March, 1961 | Indian Kanoon - Search engine for Indian Law | Section 313"
21,121162,Ashok Leland Ltd vs State Of Tamil Nadu And Anr,0.00078473,542,Ashok Leland Ltd vs State Of Tamil Nadu And Anr | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law
27,1086058,Canara Bank vs V.K. Awasthy,0.00069338,454,Article 226 | Indian Kanoon - Search engine for Indian Law | Indian Kanoon - Search engine for Indian Law | Canara Bank vs V.K. Awasthy | Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989
26,1867873,"Intellectuals Forum, Tirupathi vs State Of A.P. & Ors",0.00070506,343,"Intellectuals Forum, Tirupathi vs State Of A.P. & Ors | India Act | Art. 136 | Specific Relief Act | Narmada Bachao Andolan Vs.

      Union  of India"
1,618705,Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005,0.00109551,320,"Union_Of_India_vs_Pramod_Gupta_D_By_Lrs_Ors_on_7_September_2005 | Indian Kanoon - Search engine for Indian Law | Land Acquisition Act, 1894 | Indian Kanoon - Search engine for Indian Law | Secretary v.   Bipin Kumar and Anr."
