overall_rank,id,label,year,url,node_type,community_id,subcommunity_id,composite_score,super_landmark,global_pagerank,pr_pct,local_betweenness,lpr_pct,global_betweenness,bw_pct,bridge_score,in_degree,out_degree,community_size
1,299215,Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989,1989.0,https://indiankanoon.org/doc/299215/,case,0,C0_S2,0.998024,True,0.00052306,0.9990546417092078,0.001430942,0.9967857818113065,0.0003146784,0.9977311401020987,0.0003035917,22,99,10922
2,251771,Anil Kak vs Kumari Sharada Raje & Ors,,https://indiankanoon.org/doc/251771/,case,11,C11,0.997533,True,0.00048318,0.9986764983928909,0.0014010656,0.9962185668368312,0.0002472578,0.9971639251276234,0.000246636,196,10,2614
3,1522913,Aloke Nath Dutta & Ors vs State Of West Bengal,,https://indiankanoon.org/doc/1522913/,case,4,C4_S15,0.993846,True,0.00030828,0.9962185668368312,0.0024374571,0.9981092834184155,8.85873e-05,0.9880884855360181,8.01763e-05,135,50,7289
4,165105,Hindustan Petroleum Corpn. Ltd vs Darius Shapur Chenai & Ors,,https://indiankanoon.org/doc/165105/,case,5,C5_S3,0.992636,True,0.00062949,0.9996218566836831,0.0013833593,0.9960294951786727,5.62013e-05,0.9822272641331065,5.46673e-05,214,19,4132
5,884513,"Tata Cellular  v.  Union  of
India6",1994.0,https://indiankanoon.org/doc/884513/,case,0,C0_S9,0.991927,True,0.00020073,0.9875212705615428,0.0014172886,0.9964076384949896,0.0001606171,0.9937606352807714,0.0001496362,41,33,10922
6,268805,Delhi_Transport_Corporation_vs_D_T_C_Mazdoor_Congress_on_4_September_1990,1990.0,https://indiankanoon.org/doc/268805/,case,0,C0_S13,0.991473,True,0.00020765,0.988466628852335,0.0004122422,0.9848742673473246,0.0006469684,0.9996218566836831,0.0006437744,33,205,10922
7,667073,"Kehar Singh & Ors vs State (Delhi Admn.) on 3 August, 1988",1988.0,https://indiankanoon.org/doc/667073/,case,4,C4_S2,0.989885,True,0.00021695,0.9892229154849688,0.0004966035,0.9878994138778597,0.000119035,0.9920589903573455,0.0001173214,22,104,7289
8,703393,"The Ahmedabad St. Xaviers College ... vs State Of Gujarat & Anr on 26 April, 1974",1974.0,https://indiankanoon.org/doc/703393/,case,0,C0_S4,0.989176,True,0.00020003,0.9873321989033844,0.0003599996,0.9827944791075818,0.0002032639,0.9958404235205143,0.0002004747,27,153,10922
9,1775396,Unni_Krishnan_J_P_And_Ors_Etc_Etc_vs_State_Of_Andhra_Pradesh_And_Ors_Etc_Etc_on_4_February_1993,1993.0,https://indiankanoon.org/doc/1775396/,case,0,C0_S4,0.989157,True,0.00016952,0.9835507657402155,0.0003815177,0.983739837398374,0.0005550669,0.9994327850255247,0.000552111,20,153,10922
10,257876,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973",1973.0,https://indiankanoon.org/doc/257876/,case,0,C0_S12,0.988987,True,0.00012159,0.9735299678578181,0.0024589104,0.998298355076574,0.0016096401,1.0,0.0015905889,84,563,10922
11,1130169,"State Of Kerala & Anr vs N. M. Thomas & Ors on 19 September, 1975",1975.0,https://indiankanoon.org/doc/1130169/,case,0,C0_S4,0.988731,True,0.0001293,0.9757988277557195,0.0012084772,0.9947059935715636,0.0004899525,0.9992437133673663,0.0004805895,26,53,10922
12,426032,"Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975",1975.0,https://indiankanoon.org/doc/426032/,case,0,C0_S9,0.987899,True,0.00027273,0.9941387785970883,0.0002115766,0.9757988277557195,9.71317e-05,0.9894119871431273,9.54924e-05,7,105,10922
13,388201,Addagada_Raghavamma_And_Anr_vs_Addagada_Chenchamma_And_Anr_on_9_April_1963,1963.0,https://indiankanoon.org/doc/388201/,case,11,C11,0.987691,True,0.00047119,0.9984874267347325,0.0005771584,0.9899792021176026,3.01577e-05,0.9737190395159766,2.99016e-05,10,18,2614
14,1938608,"Narmada Bachao Andolan Vs.

      Union  of India",2000.0,https://indiankanoon.org/doc/1938608/,case,6,C6,0.987474,True,0.00024563,0.991869918699187,0.0002893951,0.9809037625259973,8.08746e-05,0.9871431272452259,8.08408e-05,22,26,1341
15,1201493,Bachan_Singh_Etc_Etc_vs_State_Of_Punjab_Etc_Etc_on_16_August_1982,1982.0,https://indiankanoon.org/doc/1201493/,case,4,C4_S15,0.986434,True,0.00027084,0.9937606352807714,0.0001112483,0.9618075250519947,0.0002016707,0.9956513518623559,0.0002012868,29,7,7289
16,1813801,Kartar_Singh_vs_State_Of_Punjab_on_11_March_1994,1994.0,https://indiankanoon.org/doc/1813801/,case,4,C4_S2,0.985857,True,0.00010549,0.9671015314804311,0.0021513998,0.9979202117602571,0.0003805232,0.9986764983928909,0.0003730993,45,302,7289
17,1281050,Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,1979.0,https://indiankanoon.org/doc/1281050/,case,0,C0_S9,0.984959,True,0.00028162,0.9947059935715636,0.0001466848,0.9697485346946493,6.34787e-05,0.9846851956891662,6.23422e-05,63,1,10922
18,63489929,Ashoka_Kumar_Thakur_vs_Union_Of_India_Ors_on_10_April_2008,2008.0,https://indiankanoon.org/doc/63489929/,case,0,C0_S4,0.983494,True,0.00010552,0.9672906031385895,0.0013607429,0.9958404235205143,0.000133977,0.9931934203062961,0.0001234342,64,87,10922
19,1830927,Janata_Dal_vs_H_S_Chowdhary_And_Ors_on_28_August_1992,1992.0,https://indiankanoon.org/doc/1830927/,case,4,C4_S13,0.982445,True,0.00024485,0.9916808470410285,0.0001176181,0.9629419550009454,6.67086e-05,0.9858196256381169,6.63027e-05,28,71,7289
20,1353689,A_R_Antulay_vs_R_S_Nayak_Anr_on_29_April_1988,1988.0,https://indiankanoon.org/doc/1353689/,case,4,C4_S23,0.982218,True,0.00010345,0.9663452448477973,0.0004014226,0.9843070523728493,0.0003941886,0.9988655700510494,0.0003928034,58,153,7289
21,764031,"A.P. Pollution Control Board vs Prof.M.V.Nayudu (Retd.) & Others on 27 January, 1999",1999.0,https://indiankanoon.org/doc/764031/,case,6,C6,0.982043,True,0.00023763,0.9913027037247116,0.0001406522,0.9690867838910947,5.23871e-05,0.9807146908678389,5.23706e-05,14,28,1341
22,1937304,"M.I. Builders Pvt. Ltd vs Radhey Shyam Sahu And Others on 26 July, 1999",1999.0,https://indiankanoon.org/doc/1937304/,case,6,C6,0.981584,True,0.00017662,0.9848742673473246,0.0001306945,0.9648326715825298,9.92186e-05,0.9897901304594441,9.92034e-05,14,77,1341
23,1363234,Indra_Sawhney_Etc_Etc_vs_Union_Of_India_And_Others_Etc_Etc_on_16_November_1992,1992.0,https://indiankanoon.org/doc/1363234/,case,0,C0_S4,0.981225,True,9.941e-05,0.9646435999243713,0.0008529105,0.9920589903573455,0.0001253215,0.9924371336736623,0.0001187133,31,135,10922
24,1766147,Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978,1978.0,https://indiankanoon.org/doc/1766147/,case,0,C0_S13,0.980838,True,0.00029669,0.9956513518623559,7.54076e-05,0.9498960105880129,6.72772e-05,0.9860086972962753,6.66929e-05,67,5,10922
25,1152518,L_Chandra_Kumar_vs_Union_Of_India_And_Others_on_18_March_1997,1997.0,https://indiankanoon.org/doc/1152518/,case,0,C0_S11,0.980753,True,0.0001074,0.9686141047456986,0.0002108173,0.975609756097561,0.0003329238,0.998298355076574,0.0003312904,27,86,10922
26,677551,"Allahabad Bank vs Canara Bank & Another on 10 April, 2000",2000.0,https://indiankanoon.org/doc/677551/,case,2,C2_S43,0.980204,True,0.00018567,0.9858196256381169,0.0002405933,0.9784458309699376,3.53712e-05,0.9750425411230856,3.43928e-05,15,81,7913
27,112850760,S_P_Gupta_vs_Union_Of_India_Anr_on_30_December_1981,1981.0,https://indiankanoon.org/doc/112850760/,case,0,C0_S11,0.979656,True,0.00022033,0.9897901304594441,0.0001361569,0.9680468897712233,4.02401e-05,0.9763660427301948,3.91852e-05,38,4,10922
28,156242701,Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Ors_on_19_December_1996,1996.0,https://indiankanoon.org/doc/156242701/,case,0,C0_S25,0.978049,True,0.00014284,0.979013045944413,8.74186e-05,0.952921157118548,0.0001915346,0.994895065229722,0.0001908573,28,160,10922
29,1602162,Som_Prakash_Rekhi_vs_Union_Of_India_Anr_on_13_November_1980,1980.0,https://indiankanoon.org/doc/1602162/,case,0,C0_S9,0.97785,True,7.434e-05,0.9523539421440727,0.0011110348,0.9945169219134051,0.0001928398,0.9950841368878806,0.0001842317,15,2,10922
30,125596,"Bennett Coleman & Co. & Ors vs Union Of India & Ors on 30 October, 1972",1972.0,https://indiankanoon.org/doc/125596/,case,0,C0_S3,0.976716,True,0.00014241,0.9788239742862545,0.0001052361,0.9595386651540934,7.43334e-05,0.9865759122707506,7.35181e-05,26,62,10922
31,1809461,Murari_Ors_vs_Union_Of_India_Ors_on_1_November_1996,1996.0,https://indiankanoon.org/doc/1809461/,case,5,C5_S2,0.976007,True,7.42e-05,0.9519757988277557,0.0004281895,0.9856305539799584,0.0002355315,0.996596710153148,0.0002350567,5,48,4132
32,689330,"Union Of India And Ors vs Filip Tiago De Gama Of Vedem Vasco De Gama on 30 November, 1989",1989.0,https://indiankanoon.org/doc/689330/,case,5,C5_S7,0.976007,True,0.00022695,0.9907354887502363,3.71267e-05,0.9262620533182075,0.0001851854,0.9947059935715636,0.0001851442,15,19,4132
33,936707,"Indira Nehru Gandhi vs Shri Raj Narain & Anr on 7 November, 1975",1975.0,https://indiankanoon.org/doc/936707/,case,0,C0_S20,0.975808,True,7.279e-05,0.9515976555114388,0.000401315,0.9841179807146909,0.0003066906,0.9975420684439402,0.0003035813,48,168,10922
34,1235907,"Union Of India vs H. S. Dhillon on 21 October, 1971",1971.0,https://indiankanoon.org/doc/1235907/,case,0,C0_S12,0.975506,True,0.0001257,0.975231612781244,0.0001062353,0.9599168084704103,7.93851e-05,0.9869540555870675,7.8562e-05,18,75,10922
35,753224,Supreme_Court_Advocates_On_Record_vs_Union_Of_India_on_6_October_1993,1993.0,https://indiankanoon.org/doc/753224/,case,0,C0_S11,0.975307,True,7.067e-05,0.9493287956135376,0.000470993,0.9873321989033844,0.0002262647,0.9964076384949896,0.0002226155,17,163,10922
36,513801,"Rustom Cavasjee Cooper vs Union Of India on 10 February, 1970",1970.0,https://indiankanoon.org/doc/513801/,case,0,C0_S27,0.974579,True,6.596e-05,0.9453582907922102,0.0005222441,0.9886557005104935,0.00032148,0.9979202117602571,0.0003174338,38,207,10922
37,1934103,"Vellore Citizens Welfare Forum vs Union Of India & Ors on 28 August, 1996",1996.0,https://indiankanoon.org/doc/1934103/,case,6,C6,0.974414,True,8.653e-05,0.9604840234448856,0.0001406522,0.9690867838910947,0.0001639185,0.9941387785970883,0.0001639021,23,21,1341
38,920363,Ghaziabad_Zila_Sahkari_Bank_Ltd_vs_Addl_Labour_Commissioner_Ors_on_17_January_2007,2007.0,https://indiankanoon.org/doc/920363/,case,3,C3,0.974239,True,0.00036954,0.9977311401020987,0.0009787817,0.9937606352807714,5.8671e-06,0.9334467763282284,5.7311e-06,134,23,1463
39,1382698,"Shamsher Singh & Anr vs State Of Punjab on 23 August, 1974",1974.0,https://indiankanoon.org/doc/1382698/,case,0,C0_S11,0.97423,True,8.155e-05,0.957647948572509,0.0002261507,0.9771223293628285,0.0001113565,0.9911136320665532,0.0001096043,17,110,10922
40,871220,M_S_Motilal_Padampat_Sugar_Mills_Co_vs_State_Of_Uttar_Pradesh_And_Ors_on_12_December_1978,1978.0,https://indiankanoon.org/doc/871220/,case,67,C67,0.974088,True,0.00012528,0.9750425411230856,9.19293e-05,0.9548118737001323,7.7062e-05,0.9867649839289091,7.70504e-05,31,5,1398
41,1486949,"M.C. Mehta And Anr vs Union Of India & Ors on 20 December, 1986",1986.0,https://indiankanoon.org/doc/1486949/,case,0,C0_S22,0.973842,True,6.514e-05,0.9447910758177349,0.0012947726,0.9950841368878806,0.0001136128,0.991869918699187,0.0001035812,13,29,10922
42,980208,"Central Bureau Of Investigation, ... vs Duncans Agro Industries Ltd.,Calcutta on 9 July, 1996",1996.0,https://indiankanoon.org/doc/980208/,case,4,C4_S13,0.973426,True,0.00034166,0.9971639251276234,4.32277e-05,0.9321232747211193,3.82538e-05,0.9757988277557195,3.81046e-05,15,25,7289
43,139734870,S_R_Bommai_And_Others_Etc_Etc_vs_Union_Of_India_And_Others_Etc_Etc_on_11_March_1994,1994.0,https://indiankanoon.org/doc/139734870/,case,0,C0_S11,0.972906,True,0.00011539,0.9712611079599168,5.94845e-05,0.9429003592361505,0.0002156459,0.9962185668368312,0.000215185,30,195,10922
44,1145726,"Union Of India & Ors vs Dhanwanti Devi & Ors on 21 August, 1996",1996.0,https://indiankanoon.org/doc/1145726/,case,5,C5_S19,0.972878,True,0.00040129,0.998298355076574,0.0001860371,0.9725846095670259,8.2345e-06,0.9440347891851012,8.0282e-06,9,27,4132
45,477313,Central_Inland_Water_vs_Brojo_Nath_Ganguly_Anr_on_6_April_1986,1986.0,https://indiankanoon.org/doc/477313/,case,0,C0_S9,0.972783,True,0.00017525,0.9844961240310077,3.38483e-05,0.9222915484968803,0.0001997416,0.9954622802041974,0.0001994794,37,111,10922
46,1686885,"Kihoto Hollohan vs Zachillhu And Others on 18 February, 1992",1992.0,https://indiankanoon.org/doc/1686885/,case,0,C0_S11,0.970363,True,0.00011668,0.9714501796180752,4.38415e-05,0.9326904896955946,0.0002115134,0.9960294951786727,0.0002111737,23,75,10922
