Subcommunity Detection Results
==============================
Target communities : [0, 2, 4, 5, 8]
Resolution         : 1.5

C0 -> 38 subcommunities:
     C0_S9.0 |   100 nodes | top: Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority
    C0_S11.0 |    84 nodes | top: R_S_Nayak_vs_A_R_Antulay_on_16_February_1984
    C0_S13.0 |    66 nodes | top: Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978
     C0_S3.0 |    59 nodes | top: Dr_Ram_Manohar_Lohia_vs_State_Of_Bihar_And_Others_on_7_Septe
     C0_S4.0 |    57 nodes | top: The Ahmedabad St. Xaviers College ... vs State Of Gujarat & 
    C0_S25.0 |    55 nodes | top: Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Or
     C0_S1.0 |    46 nodes | top: K.V. Subba Rao & Ors. Etc vs Government Of Andhra Pradesh & 
     C0_S2.0 |    45 nodes | top: Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_Dece
    C0_S12.0 |    44 nodes | top: I_C_Golaknath_Ors_vs_State_Of_Punjab_Anrs_With_Connected_on_
    C0_S20.0 |    43 nodes | top: Supreme_Court_Employees__Welfare_vs_Union_Of_India_Uoi_And_A
    C0_S22.0 |    35 nodes | top: Lucknow Development Authority vs M.K. Gupta on 5 November, 1
    C0_S27.0 |    32 nodes | top: Swami_Motor_Transport_P_Ltd_And_vs_Sri_Sankaraswamigal_Mutta
     C0_S0.0 |    32 nodes | top: Olga_Tellis_Ors_vs_Bombay_Municipal_Corporation_Ors_Etc_on_1
    C0_S30.0 |    29 nodes | top: Samant N. Balakrishna Etc vs George Fernandez And Ors. Etc o
    C0_S34.0 |    28 nodes | top: Twentieth Century Finance Corpn.Ltd.& ... vs State Of Mahara
    C0_S36.0 |    22 nodes | top: Bangalore_Water_Supply_Sewerage_vs_R_Rajappa_Others_on_21_Fe
     C0_S7.0 |    21 nodes | top: Naresh_Shridhar_Mirajkar_And_Ors_vs_State_Of_Maharashtra_And
    C0_S35.0 |    19 nodes | top: Har Shankar & Ors. Etc. Etc vs The Dy. Excise & Taxation Com
    C0_S28.0 |    16 nodes | top: Balabhagas Hulaschand vs State Of Orissa on 9 December, 1975
    C0_S23.0 |    11 nodes | top: Delhi_Cloth_General_Mills_Co_Ltd_vs_Workmen_And_Ors_Etc_on_2
    C0_S18.0 |     8 nodes | top: Priya Gupta vs State Of Chhattisgarh & Ors on 8 May, 2012
     C0_S8.0 |     5 nodes | top: Workmen Of Messrs Firestone Tyre ... vs Management & Others 
    C0_S16.0 |     4 nodes | top: Gorkha Security Services vs Govt. Of Nct Of Delhi & Ors on 4
    C0_S17.0 |     4 nodes | top: Kumaon Mandal Vikas Nigam Ltd vs Girja Shankar Pant & Ors on
    C0_S19.0 |     3 nodes | top: Sur_Enamel_And_Stampingworks_P_Ltd_vs_Their_Workmen_on_7_May
    C0_S21.0 |     3 nodes | top: Ahmed G.H. Ariff & Ors vs Commissioner Of Wealth Tax, Calcut
    C0_S24.0 |     2 nodes | top: L.D. Jaisinghani vs Naraindas N. Punjabi on 27 November, 197
    C0_S26.0 |     2 nodes | top: D.L.F. Housing Construction (P) Ltd. vs Delhi Municipal Corp
    C0_S15.0 |     2 nodes | top: The_Sindhu_Resettlement_Corporation_vs_The_Industrial_Tribun
    C0_S29.0 |     2 nodes | top: J_K_Cotton_Spinning_Weavingmills_vs_Badri_Mali_And_Others_on
    C0_S14.0 |     2 nodes | top: R. Muthukumar vs The Chairman And Managing Director ...
    C0_S31.0 |     2 nodes | top: Manganese Ore (India) Ltd. A vs The Regional Assistant Commi
    C0_S32.0 |     2 nodes | top: Mahabir Jute Mills Ltd. Gorakhpur A vs Shibban Lal Saxena An
    C0_S33.0 |     2 nodes | top: S_Govinda_Menon_vs_The_Union_Of_India_Anr_on_2_February_1967
    C0_S10.0 |     2 nodes | top: Mirza_Ali_Akbar_Kashani_vs_United_Arab_Republic_And_Anr_on_5
     C0_S6.0 |     2 nodes | top: Shibapada Mukherjee vs The State Of West Bengal on 25 Januar
     C0_S5.0 |     2 nodes | top: State Of Karnataka Etc vs Shri Rameshwara Rice Mills ... on 
    C0_S37.0 |     2 nodes | top: Jaora_Sugar_Mills_P_Ltd_vs_State_Of_Madhya_Pradesh_And_Other

C2 -> 60 subcommunities:
     C2_S2.0 |    55 nodes | top: Miheer H. Mafatlal vs Mafatlal Industries Ltd on 11 Septembe
     C2_S4.0 |    52 nodes | top: Ispat Engineering And Foundry Works, ... vs Steel Authority 
     C2_S3.0 |    45 nodes | top: Vidhyadhar vs Manikrao & Anr. on 17 March, 1999
     C2_S9.0 |    44 nodes | top: Rajasthan State Mines & Minerals ... vs Eastern Engineering 
    C2_S27.0 |    44 nodes | top: K_K_Modi_vs_K_N_Modi_Ors_on_4_February_1998
    C2_S40.0 |    40 nodes | top: Parsinni (Dead) By Lrs. And Ors. vs Sukhi And Ors. on 15 Sep
    C2_S10.0 |    38 nodes | top: Renusagar Power Co. Ltd vs General Electric Co on 7 October,
    C2_S58.0 |    36 nodes | top: R.K. Mohammed Ubaidullah & Ors vs Hajee C.Abdul Wahab (D) & 
    C2_S24.0 |    36 nodes | top: Canara Bank vs Nuclear Power Corporation Of India Ltd. ... o
    C2_S34.0 |    35 nodes | top: Naresh Chandra Sanyal vs Calcutta Stock Exchange Association
    C2_S47.0 |    31 nodes | top: Dhurandhar Prasad Singh vs Jai Prakash University And Ors on
    C2_S52.0 |    31 nodes | top: Santosh Hazari vs Purushottam Tiwari (Dead) By Lrs on 8 Febr
    C2_S14.0 |    28 nodes | top: Narandas Karsondas vs S.A. Kamtam & Anr on 7 December, 1976
    C2_S11.0 |    27 nodes | top: Solidaire India Ltd vs Fairgrowth Financial Services Ltd. An
    C2_S45.0 |    25 nodes | top: K.S. Bhoopathy And Ors vs Kokila And Ors on 8 May, 2000
    C2_S43.0 |    25 nodes | top: Allahabad Bank vs Canara Bank & Another on 10 April, 2000
    C2_S48.0 |    22 nodes | top: Tirumala Tirupati Devasthanams vs K.M. Krishnaiah on 2 March
    C2_S18.0 |    21 nodes | top: Ram_Sarup_Gupta_Dead_By_Lrs_vs_Bishun_Narain_Inter_College_O
