parent_community,subcommunity_id,size,top_label,top_global_pr,top5_labels,avg_in_degree,top_betweenness_label
0,C0_S9.0,100,Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979,0.00028162,"Ramana_Dayaram_Shetty_vs_The_International_Airport_Authority_Of_on_4_May_1979 | Sukhdev Singh, Oil & Natural Gas ... vs Bhagat Ram, Association Of Clause Ii. ... on 21 February, 1975 | Gujarat_State_Co_Operative_Land_vs_P_R_Mankad_And_Ors_on_23_January_1979 | Co-Operative Central Bank Ltd. & Ors vs Additional Industrial Tribunal, ... on 3 April, 1969 | Tata Cellular  v.  Union  of
India6",4.9,Central_Inland_Water_vs_Brojo_Nath_Ganguly_Anr_on_6_April_1986
0,C0_S11.0,84,R_S_Nayak_vs_A_R_Antulay_on_16_February_1984,0.00025068,"R_S_Nayak_vs_A_R_Antulay_on_16_February_1984 | S_P_Gupta_vs_Union_Of_India_Anr_on_30_December_1981 | K_Veeraswami_vs_Union_Of_India_And_Others_on_25_July_1991 | Kihoto Hollohan vs Zachillhu And Others on 18 February, 1992 | S_R_Bommai_And_Others_Etc_Etc_vs_Union_Of_India_And_Others_Etc_Etc_on_11_March_1994",7.2,L_Chandra_Kumar_vs_Union_Of_India_And_Others_on_18_March_1997
0,C0_S13.0,66,Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978,0.00029669,"Maneka_Gandhi_vs_Union_Of_India_on_25_January_1978 | Delhi_Transport_Corporation_vs_D_T_C_Mazdoor_Congress_on_4_September_1990 | Mrs_Maneka_Gandhi_vs_Union_Of_India_Uoi_And_Anr_on_25_January_1978 | Air India Corporation, Bombay vs V. A. Rebellow & Anr on 24 February, 1972 | Satwant_Singh_Sawhney_vs_D_Ramarathnam_Assistant_Passport_on_10_April_1967",8.4,Delhi_Transport_Corporation_vs_D_T_C_Mazdoor_Congress_on_4_September_1990
0,C0_S3.0,59,Dr_Ram_Manohar_Lohia_vs_State_Of_Bihar_And_Others_on_7_September_1965,0.00020901,"Dr_Ram_Manohar_Lohia_vs_State_Of_Bihar_And_Others_on_7_September_1965 | Bennett Coleman & Co. & Ors vs Union Of India & Ors on 30 October, 1972 | Supreme Court Bar Association vs Union Of India & Anr on 17 April, 1998 | State_Of_Madhya_Pradesh_Anr_vs_Thakur_Bharat_Singh_on_23_January_1967 | Umaji Keshao Meshram & Ors vs Radhikabai W/O Anandrao Banapurkar & ... on 14 March, 1986",5.0,"Additional District Magistrate, ... vs Shivakant Shukla on 28 April, 1976"
0,C0_S4.0,57,"The Ahmedabad St. Xaviers College ... vs State Of Gujarat & Anr on 26 April, 1974",0.00020003,"The Ahmedabad St. Xaviers College ... vs State Of Gujarat & Anr on 26 April, 1974 | Unni_Krishnan_J_P_And_Ors_Etc_Etc_vs_State_Of_Andhra_Pradesh_And_Ors_Etc_Etc_on_4_February_1993 | St. Stephen'S College vs University Of Delhi on 6 December, 1991 | State Of Kerala & Anr vs N. M. Thomas & Ors on 19 September, 1975 | Ashoka_Kumar_Thakur_vs_Union_Of_India_Ors_on_10_April_2008",6.3,Unni_Krishnan_J_P_And_Ors_Etc_Etc_vs_State_Of_Andhra_Pradesh_And_Ors_Etc_Etc_on_4_February_1993
0,C0_S25.0,55,Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Ors_on_19_December_1996,0.00014284,Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Ors_on_19_December_1996 | The_Automobile_Transport_Rajasthan_vs_The_State_Of_Rajasthan_And_Others_And_on_9_April_1962 | Kewal_Krishan_Puri_Anr_vs_State_Of_Punjab_Others_on_4_May_1979 | Ram_Chandra_Kailash_Kumar_And_Company_vs_State_Of_U_P_And_Anr_on_25_March_1980 | Khyerbari_Tea_Co_Ltd_Anr_vs_The_State_Of_Assam_on_13_December_1963,4.9,Mafatlal_Industries_Ltd_And_Ors_vs_Union_Of_India_Uoi_And_Ors_on_19_December_1996
0,C0_S1.0,46,"K.V. Subba Rao & Ors. Etc vs Government Of Andhra Pradesh & Ors on 24 February, 1988",0.00019667,"K.V. Subba Rao & Ors. Etc vs Government Of Andhra Pradesh & Ors on 24 February, 1988 | Madan_Mohan_Pathak_And_Anr_vs_Union_Of_India_Uoi_And_Ors_on_21_February_1978 | Corporation_Of_Calcutta_And_Another_vs_Liberty_Cinema_on_14_December_1964 | State Of Madhya Pradesh vs Ranojirao Shinde & Anr on 21 March, 1968 | The_Life_Insurance_Corporation_Of_India_vs_D_J_Bahadur_Ors_on_10_November_1980",4.0,Madan_Mohan_Pathak_And_Anr_vs_Union_Of_India_Uoi_And_Ors_on_21_February_1978
0,C0_S2.0,45,Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989,0.00052306,"Charan_Lal_Sahu_Etc_Etc_vs_Union_Of_India_And_Ors_on_22_December_1989 | Balco Employees Union (Regd.) vs Union Of India & Ors on 10 December, 2001 | State Of Madhya Pradesh & Ors vs Nandlal Jaiswal & Ors on 24 October, 1986 | Reserve Bank Of India vs Peerless General Finance & Investment ... on 22 January, 1987 | R_K_Garg_Etc_Etc_vs_Union_Of_India_Ors_Etc_on_20_October_1981",6.3,"Balco Employees Union (Regd.) vs Union Of India & Ors on 10 December, 2001"
0,C0_S12.0,44,I_C_Golaknath_Ors_vs_State_Of_Punjab_Anrs_With_Connected_on_27_February_1967,0.00019187,"I_C_Golaknath_Ors_vs_State_Of_Punjab_Anrs_With_Connected_on_27_February_1967 | Attorney_General_For_India_vs_Amratlal_Prajivandas_on_12_May_1994 | Union Of India vs H. S. Dhillon on 21 October, 1971 | Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973 | B_R_Enterprises_Etc_Etc_vs_State_Of_U_P_And_Grs_Etc__Etc_on_7_May_1999",7.3,"Kesavananda Bharati Sripadagalvaru ... vs State Of Kerala And Anr on 24 April, 1973"
0,C0_S20.0,43,Supreme_Court_Employees__Welfare_vs_Union_Of_India_Uoi_And_Anr_on_24_July_1989,0.00014812,"Supreme_Court_Employees__Welfare_vs_Union_Of_India_Uoi_And_Anr_on_24_July_1989 | Indira Nehru Gandhi vs Shri Raj Narain & Anr on 7 November, 1975 | Hindustan Steel Ltd vs State Of Orissa on 4 August, 1969 | B.R. Kapoor vs State Of Tamil Nadu And Anr on 21 September, 2001 | S_S_Bhola_Ors_vs_B_D_Sardana_Ors_on_11_July_1997",5.3,"Indira Nehru Gandhi vs Shri Raj Narain & Anr on 7 November, 1975"
