source,target,weight
1857950,84767110,1
1857950,1801593,1
1857950,1218090,1
1857950,581566,1
1857950,1199182,1
1857950,981147,1
1857950,164902886,1
1857950,260256,1
1857950,1937835,1
1857950,37577400,1
1857950,1142233,1
1857950,354224,1
1857950,1024002,1
1857950,1507561,1
1857950,772605,1
1857950,44866856,1
1857950,176492173,1
1857950,36616288,1
1857950,1659639,1
1857950,846967,1
1857950,27376,1
1857950,129869474,1
1857950,134715,1
1857950,1597349,1
1857950,77052,1
1857950,574894,1
1857950,1164880,1
1857950,93056159,1
1857950,369702,1
1857950,1071750,1
1857950,1540780,1
1857950,1888152,1
1857950,1983234,1
1857950,1566826,1
1857950,1262401,1
1857950,735354,1
1857950,1709581,1
1857950,655638,1
1857950,1010805,1
1857950,1456610,1
1857950,1378441,1
1857950,1569253,1
1857950,367586,1
1857950,445276,1
1857950,427436,1
1857950,1123514,1
1857950,108209556,1
1857950,19636,1
1857950,1811608,1
1857950,806892,1
1857950,1293832,1
1857950,825787,1
1857950,504536,1
1857950,199256722,1
1857950,1782826,1
1857950,131782864,1
1857950,168664138,1
1857950,111915764,1
1857950,68187463,1
1857950,308208,1
1857950,147115869,1
1857950,152026735,1
1857950,17858,1
1857950,158433,1
1857950,66794474,1
1857950,129822791,1
1857950,4890801,1
1857950,487667,1
1857950,915147,1
1857950,88674,1
1857950,258019,1
1857950,609295,1
1857950,1324537,1
1857950,664727,1
1857950,188254786,1
1857950,158364168,1
1857950,123073859,1
1857950,768566,1
1857950,829916,1
1857950,846153,1
1857950,29620989,1
1857950,25987,1
1857950,128725527,1
1857950,168705853,1
1857950,609139,1
1857950,948485,1
1857950,594125,1
1857950,492977,1
1857950,181332691,1
1857950,1714884,1
1857950,127060,1
1857950,121190,1
1857950,158646,1
1857950,1004075,1
1857950,1985537,1
1857950,935769,1
1857950,631708,1
1857950,245155,1
1857950,1641007,1
1857950,161831507,1
1857950,1987997,1
1857950,1501707,1
1857950,1405898,1
1857950,433847,1
1857950,192717,1
1857950,846895,1
4354,981147,1
4354,153279772,1
4354,134715,1
4354,27622490,1
4354,108209556,1
4354,258019,1
4354,1218090,1
4354,367586,1
4354,1983234,1
4354,354224,1
4354,555882,1
4354,171482940,1
4354,166601313,1
4354,104844844,1
4354,1659104,1
4354,136873488,1
4354,145567115,1
4354,1353758,1
4354,22595973,1
4354,164678990,1
4354,4186378,1
4354,87235247,1
4354,165747100,1
4354,49179019,1
4354,66692967,1
4354,55652712,1
4354,187871492,1
4354,846967,1
4354,153444788,1
4354,1142233,1
4354,108908175,1
4354,1205651,1
4354,93056159,1
4354,1378441,1
4354,1199182,1
4354,1937835,1
4354,162709121,1
4354,1801593,1
4354,76993389,1
4354,1010805,1
10438037,590144,1
10438037,108006076,1
10438037,51529280,1
1467661,789969,1
1467661,1627329,1
1467661,65305,1
1467661,711469,1
1467661,387190,1
1467661,162070382,1
1467661,191265324,1
1467661,162850841,1
1467661,1954990,1
1467661,354318,1
1467661,176471,1
1467661,1427856,1
1467661,189484699,1
1467661,1927329,1
1467661,121068,1
1467661,440384,1
1467661,694023,1
1467661,166015046,1
1467661,339978,1
1467661,102468123,1
1467661,1052453,1
1467661,1843082,1
1467661,666914,1
1467661,1423213,1
1467661,1456610,1
1467661,306592,1
1467661,1071338,1
1467661,1408539,1
1467661,1023175,1
1467661,191105,1
1467661,545792,1
