rank,term,doc_freq,raw_freq,adj_freq,nonambiguous,informative,type,topic,role,notes,example
1,high court,93,1561,1561,1,informative,FORUM-AUTHORITY,,ACTOR,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
2,section,90,1778,1376,1,informative,STATUTE-PROVISION,,RULE,,"Additional sessions Judge, Amritsar in Sessions Trial No. 1/95 convicted all the six accused for offences under Sections 302, 307, 323, 324, 326 read with Sections 148 & 149 IPC and sentenced them all to life imprisonment and separate sente"
3,appellant,88,1483,1253,1,informative,PARTY-ACTOR,,ACTOR,,"The conviction of appellant/accused Harjit Singh (A-1) and sentences imposed on him under Sections 302, 324, 323 & 326 of IPC are hereby maintained."
4,order,94,1703,1106,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"(sic) preferred by the convicted accused Harjit Singh, Varinderjit Singh and Gursharan Singh hereinafter they shall be described as accused Nos. 1, 2 & 6 being the order in which they were arraigned before the trial court."
5,case,100,1822,1081,0,non-informative,ASPECT,,,,CASE AGAINST HARJIT SINGH (A-1) Harjit Singh
6,india,59,1204,1020,1,informative,JURISDICTION-PLACE,,EVIDENCE,,"Author: Dalveer Bhandari Bench: K.S. Radhakrishnan, Dalveer Bhandari REPORTABLE IN THE SUPREME COURT OF INDIA CRIMINAL APPELLATE JURISDICTION"
7,article,44,1007,919,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
8,state,66,1770,890,1,informative,FORUM-AUTHORITY,,ACTOR,,"And vs State Of Punjab on 16 August, 2002"
9,question,91,840,735,0,non-informative,ASPECT,,,,"According to them, there was no question of any interference because the appellants had been living in different cities for a number of years. 8."
10,fact,93,888,727,0,non-informative,ASPECT,,,,This fact of his own firing was not stated by him in his statement under Section 161 Cr.P.C. made to the police.
11,respondent,85,1032,723,1,informative,PARTY-ACTOR,,ACTOR,,It was also alleged that respondent no.2 was physically assaulted at Mumbai.
12,person,78,843,656,1,informative,PARTY-ACTOR,,ACTOR,,"According to the Autopsy Surgeon, Dr. Harpal Kaur (PW2), the following ante-mortem injuries were found on the person of the deceased:- 1) A punctured lacerated wound with inverted margins measuring 0.5 cms in diameter over left lumber regio"
13,constitution,49,702,641,1,informative,STATUTE-PROVISION,CONSTITUTIONAL,RULE,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
14,party,80,802,622,1,informative,PARTY-ACTOR,,ACTOR,,"When the three accused Harjinder Singh-A2, Ajaib Singh-A4 and Tarsem Singh (Who is dead) as members of the first party, who came in tractor, were inflicting blows on the deceased and the above named alleged eye witnesses, the other three ac"
15,view,89,691,619,0,non-informative,ASPECT,,,,Reference to the following cases would reveal that the courts have consistently taken the view that they must use this extraordinary power to prevent injustice and secure the ends of justice.
16,appeal,97,1016,596,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,This appeal by three-convicted accused is being decided with Criminal Appeal No. 814 of 2001 preferred by the State of Punjab against the acquittal of other three accused in the same incident.
17,time,86,701,555,0,non-informative,TEMPORAL,,,,The defence of accused Harjit Singh A1 as contained in his statement recorded under Section 313 Cr.P.C. is as under: He accepts his presence on the date and time of the incident.
18,law,87,1012,541,1,informative,LEGAL-CONCEPT,,ISSUE,,"This appeal has been filed by Preeti Gupta the married sister-in-law and a permanent resident of Navasari, Surat, Gujarat with her husband and Gaurav Poddar, a permanent resident of Goregaon, Maharashtra, who is the unmarried brother-in-law"
19,respect,75,499,492,0,non-informative,ASPECT,,,,it was almost impossible to work out the cost in respect of any particular area or of a particular bye-product; (iv) the cost plus basis was fixed by the Award several years ago and that too in the context of supply to certain State underta
20,suit,44,667,488,1,informative,PROCEDURE-RELIEF,PROCEDURE-REMEDY,PROCEDURAL,,"This civil appeal arises out of judgment and decree rendered by Karnataka High Court on 22.3.1999 filed under section 96 CPC against judgment and decree dated 11.10.1996 passed in O.S. No. 3656/81 on the file of City Civil Judge, Bangalore,"
21,property,68,879,479,1,informative,PROPERTY-RES,,EVIDENCE,,"Explanation.--For the purposes of this section, `cruelty' means:- (a) any wilful conduct which is of such a nature as is likely to drive the woman to commit suicide or to cause grave injury or danger to life, limb or health (whether mental "
22,provision,73,778,427,1,informative,STATUTE-PROVISION,,RULE,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
23,possession,48,533,411,1,informative,LEGAL-CONCEPT,POSSESSION,ISSUE,,"The suit was instituted by Iyengar Krishnamurthy S. Setlur Dead By Lrs vs O. V. Narasimha Setty & on 23 February, 2007 against K.S. Setlur and Shyamala Raju stating that they had unauthorisedly disturbed his possession."
24,year,70,558,410,0,non-informative,TEMPORAL,,,,"Appellant no.1 had been permanently residing with her husband at Navasari, Surat (Gujarat) for the last more than seven years."
25,judgment,97,649,399,1,informative,PROCEDURE-RELIEF,,PROCEDURAL,,"These appeals arise out of the judgment of the High Court of Punjab and Haryana dated 27th November, 2000."
