rank,entity,count,doc_freq,ent_type,std_name,role,topic,nonambiguous,informative,notes,example
1,court,1784,96,ORG,Court,ACTOR,,1,informative,,"See following observations of Justice Krishna Iyer speaking for this Court in Hira Lal Malik v. State : ""When a crime is committed by the concerted action of a plurality of persons constructive liability implicates each participant, but the"
2,high court,1273,91,ORG,High Court,ACTOR,,1,informative,,"The High Court in appeal set aside the conviction (sic) Singh, Ajaib Singh and Satinderpal Singh."
3,state,899,51,ORG,State,ACTOR,,1,informative,,"We have, therefore, ourselves looked into the record and heard the learned counsels appearing for the State and the accused."
4,india,506,48,GPE,India,EVIDENCE,,1,informative,,"(1) , this court in the backdrop of interpretation of various relevant provisions of the Code of Criminal Procedure (for short, Cr.P.C.) under Chapter XIV and of the principles of law enunciated by this court in a series of decisions relati"
5,constitution,486,38,LAW,Constitution,RULE,CONSTITUTIONAL,1,informative,,"At present, the industry is in the penumbral region where the commodity is free to be distributed at the manufacturer's choice, but yet where such manufacturer being a State instrumentality, has to conform to Articles 14 and 19 of the Const"
6,act,448,59,WORK_OF_ART,Act,,,1,informative,,(6) Where there is an express legal bar engrafted in any of the provisions of the Code or the concerned Act (under which a criminal proceeding is instituted) to the institution and continuance of the proceedings and/or where there is a spec
7,state government,270,29,ORG,State Government,ACTOR,,1,informative,,"Under the above provision, the Board is under a statutory obligation to carry on its operations and adjust its tariffs in such a way to ensure that the total revenues earned in any year of account shall, after meeting all expenses chargeabl"
8,union of india,207,24,ORG,Union Of India,ACTOR,,1,informative,,"premier Automobiles v. Union, [1972] 2 S.C.R. 526; Panipat Cooperative Sugar Mills v. Union, [1973] Oil And Natural Gas Commission And vs Association Of Natural Gas Consuming ... on 4 May, 1990 2 S.C.R. 860; Shree Meenakshi Mills v. Union, "
9,tribunal,200,14,ORG,Tribunal,ACTOR,,1,informative,,"It is of interest that in the second case, dealing with the question whether interest cannot be taken into account in working out profits, the Court observed, ( p. 235, para 5): 'The facile assumption by the Tribunal that the interest shoul"
10,indian,174,35,NORP,Indian,ACTOR,,1,informative,,This appeal is also directed against the acquittal of other convicted co-accused for offences under Sections 148 and 149 of Indian Panel Code (For short I.P.C.).
