source,target,weight
481866,1652416,1
1769227,1800386,1
1769227,734117,1
1769227,93885,1
8397,653417,1
8397,1681654,1
678245,184660633,1
678245,1949862,1
661850,1089401,1
38559,1574616,1
865394,1556438,1
865394,1253855,1
865394,219225,1
865394,1750663,1
103959,1781810,1
103959,1857950,1
103959,554839,1
103959,1430396,1
103959,1411911,1
103959,1660833,1
103959,41868,1
103959,283660,1
103959,126467,1
103959,1778510,1
1464523,1430396,1
1464523,1778510,1
1464523,1307370,1
880344,911300,1
128161,1629177,1
128161,1857950,1
128161,959860,1
128161,212098,1
128161,283660,1
1888918,1490310,1
1888918,38559,1
1126538,973363,1
1554097,1291316,1
1554097,1848179,1
1253855,41868,1
1830726,4354,1
1830726,973363,1
290317,1681654,1
290317,1685938,1
290317,512619,1
290317,1652290,1
413999,554839,1
1725486,1249510,1
1531171,1954356,1
1531171,653417,1
1586690,608874,1
1586690,506242,1
1586690,204111,1
941160,107472,1
1949862,184660633,1
1949862,4354,1
1356980,549514,1
973363,554839,1
973363,959860,1
973363,41868,1
632551,1652416,1
632551,1430396,1
1301452,59912,1
1882779,1665121,1
1882779,973363,1
1629830,204111,1
1629830,251775,1
1629830,1266379,1
1629830,1467661,1
725224,608874,1
725224,334293,1
725224,45759,1
944601,1157189,1
1262157,1430396,1
459058,649393,1
459058,481284,1
459058,126467,1
459058,184660633,1
459058,1097199,1
37282232,1864509,1
1917105,302141,1
621247,554839,1
621247,568069,1
621247,1157189,1
621247,111109,1
1901138,1882779,1
1120103,1318432,1
1523491,608874,1
1523491,204111,1
1523491,506242,1
1523491,1750208,1
254621,1652416,1
254621,1430396,1
254621,1778510,1
254621,1307370,1
1836261,1291316,1
1836261,608874,1
1559460,698518,1
1224706,1450722,1
1411911,1778510,1
1411911,1430396,1
1144327,208309,1
673012,608874,1
673012,1586690,1
673012,1307370,1
673012,981675,1
673012,414792,1
673012,323060,1
673012,1797705,1
673012,1457646,1
673012,1053167,1
673012,1660833,1
673012,1954356,1
673012,871138,1
673012,1750663,1
673012,1318432,1
673012,506242,1
673012,653417,1
673012,568069,1
673012,1857950,1
673012,1431786,1
673012,948743,1
673012,1450722,1
673012,1590667,1
673012,1157189,1
673012,33396,1
689908,1276331,1
1395554,1599768,1
1395554,1124131,1
130549,1266379,1
1270365,1996477,1
1270365,1154741,1
1864509,462743,1
1815080,653417,1
608874,204111,1
608874,251775,1
608874,1266379,1
608874,1467661,1
1820633,1652416,1
1820633,973363,1
71451605,1652416,1
71451605,1430396,1
384084,1681654,1
231666,1519712,1
1685938,1681654,1
494408,1660833,1
494408,204111,1
283660,1857950,1
283660,1029264,1
283660,973363,1
976045,1198151,1
976045,1486660,1
624810,41868,1
161666,93885,1
161666,4354,1
1948636,476355,1
1406573,725224,1
696070,567012,1
1022319,752151,1
1022319,673500,1
649393,480602,1
49043,117343175,1
49043,4354,1
93885,283660,1
93885,1307370,1
93885,554839,1
93885,1857950,1
93885,959860,1
93885,1318432,1
93885,212098,1
93885,973363,1
93885,41868,1
1790076,1815080,1
1790076,1961189,1
963833,911300,1
963833,1886356,1
963833,1072049,1
1261287,494297,1
1261287,26511,1
258864,45759,1
1139389,574198,1
407809,107472,1
407809,941160,1
407809,4354,1
407809,1949862,1
1430396,1652416,1
1430396,973363,1
1063853,184660633,1
1063853,1949862,1
1063853,334293,1
1270239,4354,1
1270239,1857950,1
518322,1430396,1
162306,1723670,1
1915068,1484876,1
1629177,608874,1
1629177,1266379,1
1629177,212098,1
1629177,1719283,1
1629177,204111,1
400509,647351,1
596612,281502,1
568069,1029264,1
568069,1450722,1
48624697,732821,1
560037,1425329,1
560037,608874,1
462743,378583,1
405713,1815080,1
405713,4354,1
405713,334293,1
405713,184660633,1
405713,1949862,1
405713,1063853,1
405713,1249510,1
405713,635142,1
405713,407809,1
1497318,512619,1
1497318,1685938,1
1839804,948916,1
1921280,1481962,1
1921280,414792,1
1921280,1660833,1
1527823,1392212,1
1386353,725224,1
1065765,104956,1
1896039,1430396,1
1450722,937486,1
94289,1252014,1
966717,512619,1
1883187,94181,1
1172174,1492591,1
225066,549514,1
1258563,1857950,1
1258563,1157189,1
1258563,212098,1
1258563,283660,1
1517669,180091,1
41868,117343175,1
41868,4354,1
23158941,1629177,1
779491,184660633,1
779491,1949862,1
779491,294497,1
282848,476355,1
1092564,608874,1
1092564,973363,1
1092564,41868,1
959860,1857950,1
959860,1382411,1
119546,673500,1
147362898,687712,1
132533,732821,1
687712,440324,1
981675,4354,1
981675,184660633,1
981675,126467,1
981675,554839,1
561318,871138,1
428949,635142,1
1098573,1954356,1
1198151,1723670,1
1198151,162306,1
1462845,1425329,1
590817,1719283,1
728886,634206,1
1786669,1870386,1
481284,761967,1
1071689,290317,1
1071689,1641860,1
1071689,1781027,1
1071689,1681654,1
829084,1857950,1
1302911,732701,1
514162,1629177,1
514162,1291316,1
514162,1857950,1
514162,959860,1
514162,212098,1
514162,283660,1
634206,667935,1
634206,725224,1
634206,1629177,1
634206,212098,1
1766505,972395,1
1766505,858834,1
1681365,1543036,1
1004330,1430396,1
1004330,1652416,1
1558985,283660,1
1346544,1450722,1
1053167,204111,1
68666,334293,1
68666,1786180,1
953755,1386353,1
1988725,1665121,1
1988725,973363,1
948743,973363,1
948743,41868,1
948743,1954356,1
948743,568069,1
948743,1157189,1
1097199,4354,1
1404351,1629177,1
1404351,608874,1
1404351,33396,1
1404351,1660833,1
1404351,973363,1
1404351,635142,1
1404351,407809,1
1404351,981675,1
1404351,204111,1
1404351,506242,1
1404351,959860,1
996317,811277,1
996317,1481962,1
996317,1660833,1
1203005,673012,1
1203005,1776469,1
1203005,948743,1
1425329,334293,1
1425329,1266379,1
1425329,204111,1
1425329,608874,1
62933588,791276,1
62933588,732821,1
1214175,561287,1
512619,1681654,1
788939,41868,1
788939,45759,1
1333014,1743548,1
1869694,948743,1
1431488,1425329,1
40472258,1857950,1
40472258,1382411,1
1733637,1685938,1
1733637,621517,1
1323246,1450722,1
1323246,1743548,1
1660833,1105428,1
981621,94289,1
981621,1252014,1
682520,1450722,1
1848179,608874,1
