doc_id,case,community,subcommunity,out_citations,in_citations
364406,"Sarup Singh & Anr vs Union Of India & Anr on 25 November, 2010",0,0,3,0
19607639,"Namit Sharma vs Union Of India on 13 September, 2012",0,0,15,5
193599726,"Sita Soren vs Union Of India on 4 March, 2024",0,0,14,0
542383,"Shri Kihota Hollohon vs Mr. Zachilhu And Others on 18 February, 1992",0,0,10,8
1308308,Sajjan Singh vs State Of Rajasthan With Connected on 30 October 1964,0,0,1,10
1559915,"All India Reporter Karamchari Sangh & ... vs All India Reporter Limited And Ors on 2 May, 1988",0,0,0,1
82249594,"S.P. Sampath Kumar And Ors. vs Union Of India (Uoi) And Ors. on 9 December, 1986",0,0,0,1
774219,"F.S. Gandhi (Dead) By Lrs vs Commissioner Of Wealth Tax, Allahabad on 2 May, 1990",0,0,1,1
1356187,"Union Of India vs Rakesh Kumar & Ors on 12 January, 2010",0,0,2,2
178907001,State Of U.P. vs Virendra Kumar,0,0,1,0
172345540,"Satya Pal Anand vs State Of M.P. And Anr on 6 May, 2014",0,0,5,0
925631,"Dr. Ramesh Yeshwant Prabhoo vs Shri Prabhakar Kashinath Kunte & Others on 11 December, 1995",0,0,4,5
1835110,"The State Of Tamil Nadu vs M/S. Arooran Sugars Ltd on 31 October, 1996",0,0,4,5
155486886,"Abhay Jain vs High Court Of Judicature For Rajasthan on 15 March, 2022",0,0,1,0
145860470,"Krishna Swami vs Union Of India And Another With Raj ... on 27 August, 1992",0,0,4,0
1152518,"L. Chandra Kumar vs Union Of India And Others on 18 March, 1997",0,0,8,27
1964341,Jayantilal Amrit Lal Shodhan vs F N Rana And Others on 5 November 1963,0,0,0,6
1902100,"Commr. Of Wealth Tax, Madras & Ors vs Late R. Sridharan By L.Rs on 29 April, 1976",0,0,1,1
71965246,Tehseen S. Poonawalla vs Union Of India,0,0,5,0
251494,"Subhash Sharma And Others vs Union Of India on 26 October, 1990",0,0,0,3
213931,213931,0,0,5,2
139734870,"S.R. Bommai And Others Etc. Etc. vs Union Of India And Others Etc. Etc. on 11 March, 1994",0,0,13,30
107225908,Krishna Kumar Singh & Anr vs State Of Bihar & Ors,0,0,7,3
1827815,Thakur Mohd Ismail vs Thakur Sabir Ali on 26 March 1962,0,0,0,1
66970168,Supreme Court Advocates-On-Record ... vs Union Of India,0,0,75,13
689330,"Union Of India And Ors vs Filip Tiago De Gama Of Vedem Vasco De Gama on 30 November, 1989",0,0,1,15
179738554,Shivraj Singh Chouhan vs Speaker Madhya Pradesh Legislative ...,0,0,4,1
1998033,"Kishan Prakash Sharma & Ors vs Union Of India & Ors on 19 March, 2001",0,0,1,2
1512520,The Keshav Mills Co Ltd vs Commissioner Of Income Tax Bombay on 8 February 1965,0,0,3,17
10432983,Dheeraj Mor vs Honble High Court Of Delhi,0,0,1,0
935385,"M. Krishna Swami vs Union Of India & Ors on 27 August, 1992",0,0,4,9
1367950,"New Delhi Municipal Committee vs State Of Punjab Etc. Etc on 19 December, 1996",0,0,3,3
21266288,I C Golak Nath And Ors vs State Of Punjab And Anr on 27 February 1967,0,0,0,20
1581602,"Sub-Committee On Judicial ... vs Union Of India And Ors., Etc on 29 October, 1991",0,0,5,17
165776436,"Novartis Ag vs Union Of India & Ors on 1 April, 2013",0,0,2,3
58889922,Shrimanth Balasaheb Patil vs Honble Speaker Karnataka Legislative ...,0,0,13,4
1240174,"Indira Nehru Gandhi (Smt.) vs Raj Narain & Anr on 24 June, 1975",0,0,0,20
1885988,"Shyamaraju Hegde vs U. Venkatesha Bhat & Ors on 25 September, 1987",0,0,0,1
42694335,"Lucknow Nagar Nigam vs Kohli Brothers Colour Lab Pvt Ltd on 22 February, 2024",0,0,4,0
1110593,"Ramesh Birch & Ors. Etc vs Union Of India & Ors. Etc on 21 April, 1989",0,0,2,5
322504,322504,0,0,16,10
9416991,Kalpana Mehta And Ors. vs Union Of India And Ors.,0,0,43,6
36423291,Rojer Mathew vs South Indian Bank Ltd And Ors Chief ...,0,0,30,4
603736,State Of West Bengal vs Union Of India on 21 December 1962,0,0,0,32
1686885,"Kihoto Hollohan vs Zachillhu And Others on 18 February, 1992",0,0,10,23
400294,"Raghunathrao Ganpatrao Etc. Etc vs Union Of India on 4 February, 1993",0,0,11,4
