doc_id,case,community,subcommunity,out_citations,in_citations
1286645,1286645,0,0,5,3
1860804,Municipal Board Hapur vs Raghuvendra Kripal And Others on 23 September 1965,0,0,0,5
1193965,"The Collector Of Customs, Madras vs Nathella Sampathu Chetty And ... on 25 September, 1961",0,0,2,28
1981010,1981010,0,0,3,2
147153870,"The Special Land Acquisition Officer, ... vs Anasuya Bai (D) By Lrs. & Ors",0,0,4,0
1824031,1824031,0,0,18,10
1231443,Corporation Of Calcutta And Another vs Liberty Cinema on 14 December 1964,0,0,3,14
971033,"Madurai Distt. Central Cooperative ... vs The Third Income-Tax Officer, Madurai on 28 July, 1975",0,0,1,2
1383496,"M/S. Girnar Traders vs State Of Maharashtra & Ors on 11 January, 2011",0,0,12,12
117343175,"State Of Bombay vs Narothamdas Jethabai And Anr. on 20 December, 1950",0,0,0,10
156000053,"M/S Indsil Hydro Power And Manganese ... vs State Of Kerala And Others on 6 September, 2021",0,0,11,1
1939865,"Sirsilk Ltd. And Another vs Textiles Committee & Ors on 12 September, 1988",0,0,2,1
1987491,"P.Kannadasan Etc. Etc vs State Of Tamil Nadu & Ors. Etc. Etc on 26 July, 1996",0,0,8,2
1656823,"Dharam Chand Jain vs The State Of Bihar on 14 April, 1976",0,0,1,1
1714839,"Orissa Cement Ltd And Ors. Etc. Etc vs State Of Orissa And Ors. Etc. Etc on 4 April, 1991",0,0,13,17
514162,"Atiabari Tea Co., Ltd vs The State Of Assam And Others. And ... on 16 August, 1960",0,0,6,22
1506108,"Vijay Kumar Sharma & Ors. Etc vs State Of Karnataka & Ors. Etc on 27 February, 1990",0,0,5,8
92024267,"Union Of India vs Vkc Footsteps India Pvt. Ltd. on 13 September, 2021",0,0,5,3
391625,391625,0,0,3,1
620816,"Amritlal Nathubhai Shah And Others vs Union Government Of India And Another on 24 August, 1976",0,0,0,5
1907642,"India Cement Ltd vs State Of Tamil Nadu Etc on 25 October, 1989",0,0,6,24
4436830,"Monnet Ispat And Energy Ltd vs Union Of India And Ors on 26 July, 2012",0,0,27,6
1535672,"Video Electronics Pvt. Ltd. And Anr. ... vs State Of Punjab & Anr. Etc. Etc on 22 December, 1989",0,0,8,6
1647721,"Indian Cement And Ors vs State Of Andhra Pradesh And Ors on 12 January, 1988",0,0,3,2
189160531,"Keshavlal Khemchand And Sons Pvt Ltd And ... vs Union Of India And Ors on 28 January, 2015",0,0,4,5
1609886,"Buxa Dooars Tea Company Ltd. Etc vs State Of West Bengal And Others on 12 May, 1989",0,0,3,4
443222,443222,0,0,10,6
108182,"Somaiya Organics (India) Ltd. & Anr vs State Of Uttar Pradesh & Anr on 17 April, 2001",0,0,13,1
6759,"Assistant Collector Of Central ... vs National Tobacco Co. Of India Ltd on 9 August, 1972",0,0,1,8
184335016,"Union Of India vs Harbhajan Singh Dhillon on 21 October, 1971",0,0,4,8
1757393,1757393,0,0,2,4
570453,"Deep Chand vs The State Of Uttar Pradeshand ... on 15 January, 1959",0,0,7,22
668225,Khyerbari Tea Co Ltd Anr vs The State Of Assam on 13 December 1963,0,0,1,7
1683423,"Behram Khurshed Pesikaka vs The State Of Bombay.Reference Under ... on 19 February, 1954",0,0,2,10
79253796,"The Patna Municipal Corporation vs M/S Tribro Ad Bureau on 16 October, 2024",0,0,9,0
264716,"Mc Dowell & Company Ltd. Etc vs Commercial Tax Officer, Vii Circle, ... on 25 October, 1976",0,0,1,0
1397739,Lord Krishna Sugar Mills vs Municipal Committee Saharanpur on 8 December 1965,0,0,1,0
749233,"B.S.E. Brokers Forum, Bombay & Ors. vs Securities & Exchange Board Of India & ... on 1 February, 2001",0,0,7,2
129693947,"Nedumpilli Finance Company Limited vs State Of Kerala . on 10 May, 2022",0,0,3,0
468319,"Smt. Patasibai & Ors vs Ratanlal on 30 January, 1990",0,0,0,1
494100,494100,0,0,0,1
775622,"State Of Bihar & Ors vs Harihar Prasad Debuka Etc on 21 February, 1989",0,0,4,2
141223563,"Baharul Islam . vs The Indian Medical Association on 24 January, 2023",0,0,8,1
768042,"Syed Ahmed Aga Etc vs State Of Mysore & Another on 2 May, 1975",0,0,3,1
681436,"The State Of Gujarat And Another vs Shri Ambica Mills Ltd., Ahmedabad, Etc on 26 March, 1974",0,0,7,9
122630889,"Shrirampur Municipal ... vs Satyabhambai Bhimaji Dawkher & Ors on 1 April, 2013",0,0,3,2
54439462,"Sanjeevkumar Harakchand Kankariya vs Union Of India on 19 December, 2024",0,0,6,0
1220288,"Snndur Manganese & Iron Ores Ltd vs State Of Karnataka & Ors on 13 September, 2010",0,0,11,4
52264543,A.A. Padmanbhan vs The State Of Kerala,0,0,4,0
1464523,"The Hingir-Rampur Coal Co., Ltd. And ... vs The State Of Orissa And Others on 21 November, 1960",0,0,3,27
7835951,"G. Mohan Rao vs The State Of Tamil Nadu on 29 June, 2021",0,0,12,0
1401686,"Pt. Rishikesh And Anr. Etc vs Smt. Salma Begum Etc. Etc on 2 May, 1995",0,0,3,1
354032,354032,0,0,1,4
854341,Kalyani Stores vs The State Of Orissa And Others on 21 September 1965,0,0,0,5
635142,"Purshottam Govindji Halai vs Shree B. M. Desai, Additional Collector ... on 14 October, 1955",0,0,1,5
1686005,"Municipal Corporation Of Greater ... vs Dr. Hakimwadi Tenants Association & Ors on 24 November, 1987",0,0,0,5
161939,161939,0,0,6,2
1979435,"Bondu Ramaswamy & Ors vs Bangalore Development Authority & Ors on 5 May, 2010",0,0,4,7
1513196,"State Of T.N vs G.N. Venkataswamy on 11 July, 1994",0,0,3,2
1340429,"Vasantlal Maganbhai Sanjanwala vs The State Of Bombay And Others.(And ... on 25 August, 1960",0,0,0,8
281568,"The Quarry Owners Association vs The State Of Bihar & Ors on 8 August, 2000",0,0,8,8
71379004,"Baijnath Kadio vs State Of Bihar And Ors. on 28 August, 1969",0,0,2,5
432335,"M.Nagabhushana vs State Of Karnataka & Ors on 2 February, 2011",0,0,6,4
72586813,Tamil Nadu Medical Officers ... vs Union Of India,0,0,5,1
431154,"Supdt. Of Taxes, Dhubri & Ors vs Onkarmal Nathmal Trust Etc. Etc on 1 May, 1975",0,0,2,3
1096367,"Offshore Holdings P.Ltd vs Bangalore Devt,Authority & Ors on 18 January, 2011",0,0,10,4
1656595,"Smt. Padmini Kunwar Ju Sahiba vs State Of Vindhya Pradesh.(Now Madhya ... on 21 February, 1961",0,0,1,0
321652,The Town Municipal Committee Amravati vs Ramchandra Vasudeo Chimote And Another on 3 March 1964,0,0,0,1
1344836,"Kanthimathy Plantations Pvt- Ltd vs State Of Kerala & Ors on 19 September, 1989",0,0,1,1
838980,"New Central Jute Mills Co. Ltd vs The Assistant Collector Of Central ... on 8 September, 1970",0,0,1,4
1100438,"State Of Assam & Ors vs Om Prakash Mohta & Ors on 22 December, 1972",0,0,0,3
1820212,"Kewal Krishan vs State Of Punjab on 6 March, 1962",0,0,1,0
7914803,Vinodchandra Sakarlal Kapadia vs State Of Gujarat .,0,0,4,0
1718426,Mahendra Lal Jaini vs The State Of Uttar Pradesh And Others on 7 November 1962,0,0,0,9
1849603,1849603,0,0,1,2
131006151,"Lakshmana Rao Yadavalli & Anr vs State Of A.P.& Ors on 6 December, 2013",0,0,5,0
906725,"Tata Iron And Steel Co. Ltd. Etc vs Union Of India And Anr on 23 July, 1996",0,0,1,0
408637,"Indian Metals And Ferro Alloys Ltd vs Union Of India And Ors on 21 September, 1990",0,0,2,4
1214358,"Income-Tax Officer, Alleppey vs M.C. Ponnoose & Ors on 28 July, 1969",0,0,0,3
662814,662814,0,0,6,5
135364996,"Manohar Lal Sharma vs The Principle Secretary & Others on 25 August, 2014",0,0,9,7
170545247,"Chief Commissioner Of Central Goods And ... vs M/S Safari Retreats Private Limited on 3 October, 2024",0,0,17,0
1953165,"C.I.T., Trivandrum vs M/S Anand Theatres on 12 May, 2000",0,0,0,1
1687040,"Krishi Upaj Mandi Samiti vs Orient Paper & Industris Ltd on 9 November, 1994",0,0,4,2
1559123,"India Tobacco Co. Ltd vs The Commercial Tax Officer, ... on 5 November, 1974",0,0,1,2
172391921,Manganese Ore India Ltd vs State Of M.P.& Ors,0,0,5,0
71630703,"State Of U.P. vs M/S. Lalta Prasad Vaish And Sons on 23 October, 2024",0,0,17,0
1013779,"State Of Maharashtra & Ors vs The Salvation Army, Western India ... on 10 February, 1975",0,0,3,3
1752601,"Baijnath Kedia vs State Of Bihar & Ors on 28 August, 1969",0,0,1,9
1560414,"The Collector Of Customs, Baroda vs Digvijaysinhji Spinning & Weaving ... on 12 April, 1961",0,0,0,3
74798333,Hari Krishna Mandir Trust vs State Of Maharashtra .,0,0,7,0
739216,739216,0,0,2,3
603957,"Gwalior Rayon Silk Mfg. (Wvg.) Co. Ltd vs The Asstt. Commissioner Of Sales Tax & ... on 21 December, 1973",0,0,6,6
130570,"Kerala State Electricity Board vs Indian Aluminium Co on 1 September, 1975",0,0,3,11
868356,"Express Hotels Private Limited vs State Of Gujarat & Anr on 2 May, 1989",0,0,2,4
128982936,"Narinder S. Chadha And Ors vs Municipal Corpn Of Greater Mumbaui & Ors on 8 December, 2014",0,0,1,0
1417510,Municipal Corporation Of Delhi vs Birla Cotton Spinning And Weaving on 23 February 1968,0,0,3,10
1671003,"Punjab Traders And Ors vs State Of Punjab And Ors on 18 September, 1990",0,0,5,0
26562598,State Of Uttaranchal vs M/S. Kumaon Stone Crusher,0,0,20,0
156404699,Pandurang Ganpati Chaugule vs Vishwasrao Patil Murgud Sahakari Bank ...,0,0,25,0
1404351,"Chhotabhai Jethabhai Patel And Co vs The Union Of India And Anther on 11 December, 1961",0,0,11,11
49846809,"Usha Bharti vs State Of U.P. & Ors on 28 March, 2014",0,0,10,1
74158,"State Of U.P. & Ors.Etc vs Pradhan Sangh Kshettra Samiti & Ors. Etc on 24 March, 1995",0,0,1,1
98511521,"Union Of India vs M/S Mohit Minerals Pvt. Ltd. on 19 May, 2022",0,0,2,1
1357355,"U. P. Rashtriya Chini Milladhikari ... vs The State Of U. P. & Ors on 2 July, 1995",0,0,0,1
160034538,The State Of Rajasthan vs Leela Ram @ Leela Dhar,0,0,0,1
476525,"Pratap Chandra Mehta vs State Bar Council Of M.P.& Ors on 9 August, 2011",0,0,2,0
179834424,179834424,0,0,4,4
136212417,"Rajasthan State Indst.Dev.&Inv.Corpn vs Subhash Sindhi Coop.Hsg.Society ... on 12 February, 2013",0,0,16,1
33396,"Ch. Tika Ramji & Others, Etc vs The State Of Uttar Pradesh & Others on 24 April, 1956",0,0,0,26
1308614,"Goodricke Group Ltd. And Ors vs State Of W.B. And Ors on 25 November, 1994",0,0,10,6
1216757,Rai Ramkrishna Others vs The State Of Bihar on 11 February 1963,0,0,4,8
64940295,Union Of India vs Bengal Shrachi Housing Development ...,0,0,2,1
90876,"The Municipal Corporation For City Of ... vs Bharat Forge Co. Ltd. & Ors on 10 March, 1995",0,0,7,2
1717899,"State Of Bihar And Ors vs Indian Aluminium Company And Ors on 24 September, 1997",0,0,3,1
21773,H R S Murthy vs Collector Of Chittoor And Another on 4 February 1964,0,0,1,8
186705056,Jayant Verma . vs Union Of India,0,0,7,1
258680,"M. K. Paplah & Sons vs The Excise Commissioner & Anr on 20 February, 1975",0,0,3,3
1516582,1516582,0,0,8,5
304499,The Automobile Transport Rajasthan vs The State Of Rajasthan And Others And on 9 April 1962,0,0,1,21
