case,year,link,downloaded file
A_K_Gopalan_vs_The_State_Of_Madras_Union_Of_India__on_19_May_1950,1950,http://indiankanoon.org/doc/1857950/,https://drive.google.com/file/d/1NcPyHyFoyUah0tu5w1Fm59q1yNQUa7Kj/view
Chiranjit_Lal_Chowdhuri_vs_The_Union_Of_India_And_Others_on_4_December_1950,1950,http://indiankanoon.org/doc/4354/,https://drive.google.com/file/d/1P-_ab03rAzKNVtRtU1ei-vCl4GljbFrN/view
Co_Operative_Society_Of_Debts_vs_Nandlal_on_12_October_1950,1950,http://indiankanoon.org/doc/10438037/,https://drive.google.com/file/d/1s0DIVf1wd2fGEEeNHam6-g4Nfgaw3zld/view
Commissioner_Of_Income_Tax_Bombay_vs_Ahmedbhai_Umarbhai_Co_Bombay_on_4_May_1950,1950,http://indiankanoon.org/doc/1467661/,https://drive.google.com/file/d/1PBOyXWSOL0gA-6IvW5VIFN4PAeSS_2BX/view
Commissioner_Of_vs_Sri_Keshab_Chandra_Mandal_on_9_May_1950,1950,http://indiankanoon.org/doc/254072/,https://drive.google.com/file/d/119llH7dDwoESF8N9H3_0eJsVxVNOII_i/view
Dhiyan_Singh_And_Another_vs_Jugal_Kishore_And_Another_on_22_February_1950,1950,http://indiankanoon.org/doc/378583/,https://drive.google.com/file/d/1oF3QZ9IDGs2zwtN3UM2WQ4VD3dbi-j3w/view
Executors_Of_The_Estate_Of_J_K_Dubash_vs_Commissioner_Of_Income_Tax_Bombaycity_on_21_December_1950,1950,http://indiankanoon.org/doc/281502/,https://drive.google.com/file/d/1z4Sii7ePMGATrWIQ21BE7ujfsb9bfyg2/view
Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Ors_on_21_December_1950,1950,http://indiankanoon.org/doc/154566/,https://drive.google.com/file/d/1akvWuIq_jx1IPWU8d4IrGcPN7DCJvL8j/view
Gnanambal_Ammal_vs_T_Raju_Ayyar_And_Others_on_21_October_1950,1950,http://indiankanoon.org/doc/983794/,https://drive.google.com/file/d/1upRKJV-aLqud5aaeASb06i-r4MAhGhpH/view
Gorakhram_Sadhuram_vs_Laxmibai_Wife_Of_Inderlal_Nandlal_on_14_March_1950,1950,http://indiankanoon.org/doc/150369/,https://drive.google.com/file/d/12nIc5OPCpv28gLQDwO9bZu4cXIiBnE2S/view
In_The_Supreme_Court_Of_India_vs_Kadar_Unnisa_Begum_And_Others_on_12_October_1950,1950,http://indiankanoon.org/doc/76789/,https://drive.google.com/file/d/1pkUM4wYbaVPKQN_XRBO_6kisFxpSFwRm/view
In_The_Supreme_Court_Of_India_vs_Nandlal_on_12_October_1950,1950,http://indiankanoon.org/doc/1925119/,https://drive.google.com/file/d/1ZTD1NFGFG_bB7PjanFmJlma7vCvQuuQt/view
Jeevantha_And_Ors_vs_Hanumantha_And_Ors_on_20_November_1950,1950,http://indiankanoon.org/doc/1464203/,https://drive.google.com/file/d/12dStkrBSMevPanK3HIaNG13QxAwIko5J/view
Kapildeo_Singh_vs_The_King_on_24_January_1950,1950,http://indiankanoon.org/doc/1878796/,https://drive.google.com/file/d/1zICEG3jOtpCRoR0Ak8d1WO2qWB-42Qrp/view
Mangan_Lal_Deoshi_vs_Mohammad_Moinul_Haoque_Others_on_1_December_1950,1950,http://indiankanoon.org/doc/136109/,https://drive.google.com/file/d/1u_gXXkATTZG-DcWsNeSn3y-tu-ZKGQ7i/view
Pannalal_Jankidas_vs_Mohanlal_And_Another_on_21_December_1950,1950,http://indiankanoon.org/doc/1695140/,https://drive.google.com/file/d/1tniACK_3IkV8kmRYiNmUWUdm_6rxFfTw/view
Prandas_vs_The_State_on_14_March_1950,1950,http://indiankanoon.org/doc/495914/,https://drive.google.com/file/d/1dbr84-AFT0RenvaozLoiKkvke0wpjVzq/view
Province_Of_Bombay_vs_Kusaldas_S_Advani_And_Others_on_15_September_1950,1950,http://indiankanoon.org/doc/1954356/,https://drive.google.com/file/d/1QRwsj3GrRCgRdj5I60NTvMver5mLfiEw/view
Raja_Kamala_Ranjan_Roy_vs_Baijnath_Bajoria_on_1_December_1950,1950,http://indiankanoon.org/doc/1833042/,https://drive.google.com/file/d/14lS_Zcb2RHTOU0KCRXkkuN_0y8X6bp-F/view
Ram_Gopal_vs_Nand_Lal_And_Others_on_14_November_1950,1950,http://indiankanoon.org/doc/1141020/,https://drive.google.com/file/d/1_AGaxofx8mMXHa68c6u5QwG95QNllN5b/view
Seth_Premchand_Satramdas_vs_The_State_Of_Bihar_on_30_November_1950,1950,http://indiankanoon.org/doc/1967040/,https://drive.google.com/file/d/1BDUb7KE-8iNt2g1PiD07NQ2nqVWbd162/view
Sheodhari_Rai_And_Ors_vs_Suraj_Prasad_Singh_And_Ors_on_1_December_1950,1950,http://indiankanoon.org/doc/349194/,https://drive.google.com/file/d/1J6pBqcldHLhUBvUblv11yoY71xSSehbP/view
Sheth_Maneklal_Mansukhbhai_vs_Messrs_Hormusji_Jamshedji_on_21_March_1950,1950,http://indiankanoon.org/doc/885778/,https://drive.google.com/file/d/1nDapBSVPqR_Swyu_wjbjQBCmrKefE-MU/view
State_Of_Bombay_vs_Narothamdas_Jethabai_And_Anr_on_20_December_1950,1950,http://indiankanoon.org/doc/117343175/,https://drive.google.com/file/d/1UXXhkdkB9iaYchVBxo8kYFAdWgqwuYyg/view
The_Bharat_Bank_Ltd_Delhi_vs_Employees_Of_The_Bharat_Bank_on_26_May_1950,1950,http://indiankanoon.org/doc/653417/,https://drive.google.com/file/d/1vvdVJuodLM9QjFT8V5kMHPS6Rj945M25/view
The_Bharat_Bank_Ltd_Delhi_vs_The_Employees_Of_The_Bharat_Bank_Ltd_on_1_March_1950,1950,http://indiankanoon.org/doc/531294/,https://drive.google.com/file/d/1YVM1ba9m6c9ZlzOFevuehcBpWtQ0NvWw/view
The_New_Piecegoods_Bazar_Co_vs_The_Commissioner_Of_Income_Tax_Bombay_on_26_May_1950,1950,http://indiankanoon.org/doc/1072049/,https://drive.google.com/file/d/1XBpHOEYS2O_c1xcZsLd99UzyuMApRPpd/view
The_State_Of_Tripura_vs_The_Province_Of_East_Bengalunion_Of_on_20_December_1950,1950,http://indiankanoon.org/doc/353083/,https://drive.google.com/file/d/1aT61vvEXumazmvlHcO-IAtZ8s4oPs9Os/view
The_State_Of_Tripura_vs_The_Province_Of_East_Bengalunion_Of_on_4_December_1950,1950,http://indiankanoon.org/doc/869781/,https://drive.google.com/file/d/1NAs1OdB70o6aYYWsFctiLLCmmvot-dHk/view
Yeswant_Deorao_Deshmukh_vs_Walchand_Ramchand_Kothari_on_1_December_1950,1950,http://indiankanoon.org/doc/611046/,https://drive.google.com/file/d/1TSfe6TP6-mS9s5dfpWTc4Z9TaBcA_uQ-/view
Angurbala_Mullick_vs_Debabrata_Mullick_on_3_May_1951,1951,http://indiankanoon.org/doc/1652416/,https://drive.google.com/file/d/1UfgW5U3nnwzUFU2EAyL8o3StiC8Vq0Zv/view
Annagouda_Nathgouda_Patil_vs_Court_Of_Wards_And_Another_on_17_December_1951,1951,http://indiankanoon.org/doc/435006/,https://drive.google.com/file/d/1jsVu-4oVbBeEHFzgrP8_7jyqrE1TY_Ba/view
Bhagwati_Prasad_Sah_And_Others_vs_Dulhin_Rameshwari_Juerand_Another_on_7_May_1951,1951,http://indiankanoon.org/doc/396336/,https://drive.google.com/file/d/1nYHXbf2wxwZ7FqHULjfZZlEPKitLU8OS/view
Bishundeo_Narain_And_Another_vs_Seogeni_Rai_And_Jagernath_on_4_May_1951,1951,http://indiankanoon.org/doc/684433/,https://drive.google.com/file/d/1F3YBMDSLadctglmDYnwl1yXdgRScG82S/view
Chandrasingh_Manibhai_And_Others_vs_Surjit_Lal_Ladhamal_Chhabdaand_Others_on_23_February_1951,1951,http://indiankanoon.org/doc/904979/,https://drive.google.com/file/d/1ySVz6_6ypHo2cpzyu9TdJMMZBPgSzCUU/view
Chinnathayi_Alias_Veeralakshmi_vs_Kulasekara_Pandiya_Naickerand_on_14_December_1951,1951,http://indiankanoon.org/doc/1684167/,https://drive.google.com/file/d/1o0Ge3VYreu8JLj-ROvGfJ4yPgdbk5VcS/view
Collector_Of_Bombay_vs_Municipal_Corporation_Of_The_City_Of_on_5_October_1951,1951,http://indiankanoon.org/doc/561287/,https://drive.google.com/file/d/1ZWzV2trJkBBQqv3gWd5X-uapww26MdQ8/view
Commissioner_Of_Excess_Profits_vs_Sri_Lakshmi_Silk_Mills_Ltd_on_18_September_1951,1951,http://indiankanoon.org/doc/990746/,https://drive.google.com/file/d/1FzvxzuyAq9avOsJARpxjhYzT91ijZzvR/view
In_Re_The_Delhi_Laws_Act_1912_The_vs_The_Part_C_States_Laws_Act_1950_on_23_May_1951,1951,http://indiankanoon.org/doc/1814791/,https://drive.google.com/file/d/1fbhlwUQcMFMXk-fgadTxKfnIdhdw0awp/view
In_Re__The_Delhi_Laws_Act_1912_The_vs_Unknown_on_23_May_1951,1951,http://indiankanoon.org/doc/306099/,https://drive.google.com/file/d/1uNpNwm8LNYuawYSYyNJd-9OY9jfPkwWD/view
Janardan_Reddy_And_Others_vs_The_State_Of_Hyderabad_And_on_16_March_1951,1951,http://indiankanoon.org/doc/732516/,https://drive.google.com/file/d/1pzuoUZXkmDESxdfcPltaQHJiqjj5LIN_/view
Kidar_Lall_Seal_And_Another_vs_Hari_Lall_Seal_on_18_December_1951,1951,http://indiankanoon.org/doc/133024/,https://drive.google.com/file/d/1quG4XIV6i20TNP7RKXQLVLM_dMadr8Rt/view
Kumar_Pashupatinath_Malia_Another_vs_Deba_Prosanna_Mukherjee_on_4_May_1951,1951,http://indiankanoon.org/doc/330852/,https://drive.google.com/file/d/1YtR6OGonwlrgVabzHNd_RlsgQzg6oOAR/view
Logendra_Nath_Jha_And_Ors_vs_Shri_Polailal_Biswas_on_24_May_1951,1951,http://indiankanoon.org/doc/153292751/,https://drive.google.com/file/d/1bfEFfNO-_tOAz6SKrIDBb7MA_u3quvvh/view
Logendranath_Jha_Others_vs_Shri_Polailal_Biswas_on_24_May_1951,1951,http://indiankanoon.org/doc/59912/,https://drive.google.com/file/d/1eUHHH_6ULZ36SK1mj0CxjmQzEzGRwQ8K/view
Mothey_Anja_Ratna_Raja_Kumar_vs_Koney_Narayana_Rao_And_Ors_on_23_November_1951,1951,http://indiankanoon.org/doc/701899/,https://drive.google.com/file/d/1KmMlu6NhOgaoUXmA2e018qdljwwTw6r_/view
Mummareddi_Nagi_Reddi_And_Others_vs_Pitti_Durairaja_Naidu_And_Others_on_8_May_1951,1951,http://indiankanoon.org/doc/1870386/,https://drive.google.com/file/d/12N74mx0YTtZDtzhHdxooy94Ap9GMU2nj/view
Raja_Braja_Sundar_Deb_vs_Moni_Behara_And_Others_on_27_March_1951,1951,http://indiankanoon.org/doc/1423714/,https://drive.google.com/file/d/1mV62p0JpmxUJEO3bgSQSXJBbTqG2jOkH/view
Ram_Dhan_Lal_And_Others_vs_Radhe_Sham_And_Others_on_19_March_1951,1951,http://indiankanoon.org/doc/907531/,https://drive.google.com/file/d/14WuDYRDqZdl9aajufTeY22fxxFPMWKJb/view
Ram_Kumar_Das_vs_Jagadish_Chandra_Deb_Dhabal_Deband_on_26_November_1951,1951,http://indiankanoon.org/doc/1049882/,https://drive.google.com/file/d/1OJ5khhhHJZrrH68SHzfqCdLEia__qWmw/view
Ram_Singh_And_Ors_vs_The_State_Of_Delhi_And_Anr_on_6_April_1951,1951,http://indiankanoon.org/doc/40472258/,https://drive.google.com/file/d/10jsCFYcuUd4csaBLx42oY41F3mXsifOh/view
